lambda0 k theta mu0 sigma alpha epsilon weight
0.250702 558 0.000439935 0.0671311 0.227463 -0.0841247 3.73451 0.00011454
0.272705 532 0.000536778 0.0324535 0.250167 -0.109496 8.40294 0.00010131
0.24793 532 0.000492239 0.0510353 0.229325 -0.0708451 4.85801 0.000130541
0.276613 528 0.000508655 0.0469503 0.242023 -0.107358 5.8916 0.000103766
0.278207 592 0.000476975 0.0759594 0.279512 -0.0844796 3.66258 0.000145886
0.26046 534 0.000479338 0.0414669 0.218093 -0.076929 6.28117 0.000103766
0.322985 593 0.000524765 0.0810069 0.262362 -0.126606 3.98713 0.000130541
0.275719 575 0.000507133 0.0738932 0.258741 -0.122516 3.73132 0.000111694
0.273203 543 0.000495995 0.0527514 0.263718 -0.088742 5.17907 0.00010131
0.286675 543 0.000483377 0.0869805 0.237989 -0.0468188 3.29586 0.000169193
0.277548 541 0.000504648 0.0595736 0.265578 -0.0935923 4.65891 0.000123761
0.284639 577 0.000508225 0.0458185 0.256418 -0.113943 6.21232 0.00010131
0.289508 598 0.000501764 0.0405249 0.248432 -0.0974319 7.14394 9.66525e-05
0.294508 634 0.000451542 0.0507596 0.266041 -0.0735052 5.80201 9.894e-05
0.259668 586 0.000450826 0.0998798 0.238941 -0.0630981 2.59981 0.000164105
0.321136 618 0.000481789 0.0501311 0.288673 -0.0664933 6.40594 9.44434e-05
0.350771 658 0.00055234 0.0606951 0.298598 -0.120456 5.77922 8.63231e-05
0.349103 675 0.000504414 0.0747331 0.310979 -0.129151 4.67134 9.894e-05
0.311469 590 0.00053202 0.0598124 0.250333 -0.135368 5.20744 9.44434e-05
0.404626 753 0.000530351 0.0955546 0.265724 -0.0900129 4.2345 0.000117495
0.307998 563 0.00051752 0.0409274 0.27128 -0.0937414 7.52548 8.63231e-05
0.303359 530 0.000531016 0.0695191 0.295685 -0.124765 4.36369 0.000134142
0.300634 603 0.000503325 0.0707338 0.246507 -0.131995 4.25022 0.000106312
0.259679 549 0.000515318 0.0856124 0.317024 -0.181951 3.03319 0.000120567
0.277878 501 0.000535255 0.0650864 0.25805 -0.15361 4.26937 0.00011454
0.294082 653 0.000456182 0.0461925 0.2427 -0.075595 6.36645 9.02464e-05
0.280636 573 0.000481206 0.0958245 0.299058 -0.124776 2.92864 0.000130541
0.316676 753 0.000427112 0.102837 0.328188 -0.0215295 3.07939 0.000164105
0.27039 557 0.000493948 0.0584095 0.274615 -0.0559102 4.62921 0.000127083
0.264251 581 0.000489942 0.0977849 0.240113 -0.0824824 2.70237 0.000164105
0.335969 603 0.000559434 0.0562806 0.240513 -0.120069 5.96952 0.000106312
0.317052 600 0.000515901 0.0791785 0.263215 -0.0709534 4.00427 0.000145886
0.335941 643 0.000485506 0.0615093 0.275393 -0.0484154 5.46163 0.000117495
0.347631 1247 0.000281916 0.0510247 0.332376 0.0271572 6.813 8.44567e-05
0.319769 644 0.000495437 0.0372146 0.293442 -0.0664203 8.59258 9.44434e-05
0.280962 549 0.000527462 0.0856546 0.287781 -0.098192 3.28018 0.000180106
0.330592 735 0.000450066 0.0413709 0.278935 -0.0199864 7.99092 9.66525e-05
0.298063 612 0.000476238 0.0513571 0.284343 -0.0791124 5.80373 9.894e-05
0.26932 530 0.000522189 0.053343 0.294041 -0.144062 5.04883 0.000106312
0.270788 513 0.000524755 0.0527367 0.278885 -0.116832 5.13471 0.000108953
0.2779 601 0.000480942 0.0376175 0.251522 -0.107259 7.38753 8.26502e-05
0.27538 621 0.000468419 0.0678083 0.319051 -0.0737371 4.06116 0.000120567
0.312494 636 0.000471717 0.0495362 0.281571 -0.0828034 6.3084 9.44434e-05
0.280087 602 0.000486141 0.0616524 0.255932 -0.0525058 4.543 0.000117495
0.318055 645 0.00050138 0.0532316 0.236149 -0.0668009 5.97493 9.44434e-05
0.300905 575 0.000514409 0.0543565 0.220822 -0.0974459 5.53577 0.000106312
0.24645 525 0.000472361 0.0833223 0.237251 -0.090493 2.95779 0.000123761
0.324244 612 0.000510099 0.0164205 0.239133 -0.0559906 19.7463 8.09011e-05
0.302268 593 0.00049817 0.0599585 0.26268 -0.118478 5.04129 0.000106312
0.308793 548 0.000565337 0.0571018 0.302878 -0.145436 5.40776 9.894e-05
0.299626 610 0.000520223 0.0236597 0.258033 -0.0856642 12.664 8.82521e-05
0.301227 614 0.000497255 0.036416 0.278834 -0.0337985 8.27182 0.000106312
0.321836 574 0.000566383 0.0441561 0.2891 -0.160757 7.2886 8.82521e-05
0.271266 515 0.000520006 0.0301367 0.247367 -0.164963 9.00119 8.09011e-05
0.301217 554 0.000532885 0.0475929 0.266167 -0.0998406 6.32903 0.000117495
0.363006 792 0.000475356 0.0820597 0.266111 -0.0546248 4.42368 0.00010131
0.331475 735 0.000442676 0.100915 0.232975 -0.0221557 3.28471 0.000137894
0.351966 613 0.000585237 0.0917763 0.231406 -0.0867562 3.83504 0.000164105
0.332204 608 0.000568209 0.104638 0.317355 -0.156605 3.1748 0.000130541
0.334638 636 0.000524525 0.0924662 0.243336 -0.0657911 3.61902 0.000145886
0.369397 707 0.000480188 0.0892549 0.244209 -0.0623293 4.13868 0.000123761
0.366749 626 0.000566506 0.0748166 0.275951 -0.110739 4.90197 0.000137894
0.369172 725 0.000506786 0.0864026 0.258604 -0.0855919 4.2727 0.000127083
0.348747 819 0.000429356 0.103966 0.242008 -0.035354 3.35443 0.000130541
0.28568 592 0.000478226 0.0740046 0.241799 -0.0808567 3.8603 0.000120567
0.324925 661 0.00047989 0.122418 0.245968 -0.0975921 2.65422 0.000169193
0.302122 718 0.000465723 0.114828 0.243208 -0.0648175 2.63109 0.000137894
0.387561 732 0.000512008 0.119798 0.226265 -0.0696032 3.23512 0.000212498
0.317394 707 0.000452412 0.0804661 0.231571 -0.0462317 3.94444 0.00010131
0.308818 686 0.000466088 0.125801 0.240179 -0.0516294 2.45482 0.000145886
0.303644 640 0.000493568 0.115623 0.22361 -0.077646 2.62616 0.000212498
0.313419 585 0.000501416 0.064202 0.210376 -0.091737 4.88176 0.000117495
0.321302 629 0.000549219 0.0903881 0.255814 -0.0955712 3.55469 0.000150145
0.354389 661 0.00052284 0.0916048 0.224818 -0.105678 3.86867 0.00010131
0.339184 705 0.000492971 0.0692011 0.237604 -0.0626285 4.90142 0.000123761
0.271848 637 0.000468911 0.0836657 0.255325 -0.0455847 3.24922 0.000174522
0.324731 704 0.000454724 0.107055 0.235181 -0.0434826 3.03329 0.000145886
0.341604 686 0.000511585 0.0865729 0.228129 -0.0595043 3.94585 0.000117495
0.281288 596 0.000471392 0.0532978 0.226244 -0.0639029 5.27768 9.894e-05
0.324785 670 0.000484728 0.0676326 0.269398 -0.065521 4.80219 0.00011454
0.353201 926 0.00041802 0.106001 0.293782 -0.0169534 3.33206 0.000120567
0.307846 684 0.000463071 0.0814386 0.250817 -0.0565373 3.7801 0.000111694
0.344889 718 0.000505652 0.114595 0.279127 -0.0424205 3.00964 0.000164105
0.345371 722 0.000485156 0.0650116 0.257004 -0.0468798 5.31246 0.00011454
0.29849 780 0.00040211 0.0792452 0.266584 -0.0413513 3.76667 0.00011454
0.380397 808 0.000476034 0.110044 0.280361 -0.0747759 3.45678 0.000120567
0.318687 730 0.000447443 0.118644 0.260884 -0.0533867 2.68607 0.000169193
0.368031 721 0.00050119 0.0874591 0.244638 -0.0830099 4.20804 0.00010131
0.354383 746 0.000447341 0.0824588 0.256832 -0.0123291 4.2977 0.000117495
0.320582 898 0.000376144 0.0691185 0.295952 0.00740385 4.63815 0.000111694
0.367778 682 0.000533152 0.0673003 0.229957 -0.0858001 5.46473 0.000103766
0.29673 637 0.000488993 0.0634073 0.23529 -0.0437603 4.67974 0.000103766
0.393609 724 0.000506644 0.0805936 0.242545 -0.0555618 4.88387 0.00011454
0.287258 562 0.000515625 0.0674361 0.211138 -0.0495447 4.25971 0.000154594
0.35043 767 0.000474805 0.0754066 0.222634 -0.0287614 4.64721 9.894e-05
0.369168 822 0.000459996 0.0825295 0.224055 -0.0571032 4.47316 0.00010131
0.348406 657 0.000518385 0.096834 0.235329 -0.0813259 3.59797 0.000134142
0.380599 731 0.000513064 0.145193 0.237177 -0.0568708 2.62133 0.000180106
0.279658 673 0.000440292 0.0957714 0.242201 -0.0503409 2.92006 0.000174522
0.3618 655 0.000519175 0.0866509 0.241271 -0.0812743 4.17538 0.000108953
0.309692 637 0.000498697 0.111535 0.245131 -0.101484 2.77663 0.000141806
0.311213 655 0.000488592 0.105933 0.255148 -0.0670349 2.93784 0.000169193
0.321037 717 0.000477619 0.089793 0.231374 -0.103917 3.5753 0.000103766
0.281364 571 0.000482248 0.0691496 0.265961 -0.108003 4.06892 0.000123761
0.295984 652 0.00045504 0.0749204 0.239514 -0.0371546 3.95065 0.000150145
0.349396 734 0.000479659 0.10828 0.249317 -0.0468008 3.22679 0.000137894
0.296461 613 0.000507942 0.113678 0.228836 -0.101285 2.60789 0.000185963
0.316169 625 0.000490691 0.105017 0.248708 -0.091924 3.01063 0.000150145
0.330262 684 0.00051157 0.0761175 0.250093 -0.095526 4.33885 0.000117495
0.301099 685 0.000445891 0.155854 0.267271 -0.05258 1.93193 0.000236311
0.29588 590 0.000487867 0.0728478 0.248654 -0.0983006 4.06162 0.000134142
0.316735 755 0.000434583 0.142016 0.243059 -0.0519289 2.23028 0.000185963
0.323608 709 0.000469524 0.0995372 0.243718 -0.0616774 3.25113 0.000137894
0.25787 582 0.000476806 0.124122 0.238873 -0.0878698 2.07755 0.000212498
0.357219 717 0.000492938 0.0914295 0.260819 -0.0657079 3.90704 0.000127083
0.289218 636 0.000488231 0.12657 0.235078 -0.0930024 2.28504 0.000205355
0.295944 690 0.000440831 0.129507 0.266743 -0.0703241 2.28516 0.000220019
0.267358 544 0.000493398 0.0938795 0.260339 -0.105713 2.84789 0.00019211
0.354388 697 0.000518295 0.122708 0.259181 -0.0735127 2.88806 0.000150145
0.337052 586 0.000601133 0.0489678 0.212168 -0.148839 6.88313 9.66525e-05
0.396934 571 0.000637303 0.141322 0.256902 -0.224202 2.80873 0.000169193
0.410066 653 0.00057814 0.137157 0.251492 -0.151208 2.98975 0.00019211
0.379399 582 0.000681244 0.132541 0.259463 -0.20331 2.8625 0.000164105
0.427615 722 0.000554224 0.104188 0.266162 -0.12475 4.10425 0.000108953
0.352403 594 0.000626052 0.130755 0.270002 -0.174199 2.69513 0.000154594
0.42836 658 0.000661837 0.0837231 0.284147 -0.228339 5.11639 9.66525e-05
0.389785 650 0.000615022 0.111651 0.279644 -0.228178 3.4911 0.000108953
0.375444 557 0.000660588 0.126075 0.271711 -0.182244 2.97793 0.000169193
0.436658 599 0.000699147 0.0654212 0.296403 -0.211865 6.67456 0.000108953
0.333626 590 0.000596069 0.113386 0.269035 -0.188205 2.94239 0.000141806
0.353639 617 0.000563544 0.128422 0.340259 -0.149642 2.75371 0.000185963
0.312878 618 0.000525496 0.125485 0.299825 -0.159446 2.49336 0.000154594
0.283839 517 0.000549504 0.0683475 0.332335 -0.19826 4.15289 0.000120567
0.329165 670 0.000470878 0.0617048 0.296836 -0.0913001 5.33452 0.000108953
0.346878 551 0.000594369 0.114817 0.285255 -0.19174 3.02114 0.000150145
0.32156 569 0.000557865 0.0659228 0.319084 -0.192122 4.87782 0.000117495
0.307794 614 0.000513917 0.0960209 0.281354 -0.147186 3.20549 0.000127083
0.285515 510 0.000571039 0.12672 0.278166 -0.168533 2.25312 0.000220019
0.325235 579 0.000576043 0.0679748 0.275045 -0.185386 4.78464 0.000106312
0.318741 583 0.000572239 0.0602038 0.297878 -0.164739 5.29437 9.02464e-05
0.297249 510 0.000555569 0.117746 0.260502 -0.128014 2.52449 0.000245145
0.275573 608 0.00047857 0.0849996 0.274258 -0.118266 3.24205 0.000127083
0.283803 576 0.000523931 0.12052 0.266631 -0.15585 2.35482 0.000174522
0.315627 571 0.000539078 0.0959013 0.263399 -0.159292 3.29116 0.000141806
0.276305 495 0.000609282 0.167873 0.318163 -0.168444 1.64592 0.000369236
0.36445 652 0.000524632 0.184118 0.29568 -0.105986 1.97943 0.000254483
0.322999 573 0.000560218 0.101668 0.240594 -0.169313 3.177 0.000154594
0.317897 559 0.000563075 0.062122 0.262372 -0.188241 5.1173 0.000103766
0.310429 530 0.00058317 0.0728836 0.280464 -0.191154 4.25924 0.000120567
0.302499 577 0.000556291 0.0635314 0.269562 -0.150541 4.76141 0.000111694
0.325376 572 0.000596433 0.200248 0.306405 -0.182534 1.62487 0.000337827
0.341879 644 0.000579193 0.109633 0.330496 -0.19023 3.11839 0.00011454
0.296362 546 0.000553443 0.096161 0.288499 -0.202256 3.08194 0.000123761
0.267482 577 0.000464432 0.175948 0.266378 -0.138296 1.52024 0.000323604
0.297927 536 0.000546173 0.0935422 0.301464 -0.188266 3.18495 0.000154594
0.320909 584 0.000570063 0.17845 0.292973 -0.189485 1.79831 0.000220019
0.345098 605 0.000595706 0.171891 0.267732 -0.175913 2.00766 0.000245145
0.305656 621 0.000473264 0.125344 0.320843 -0.183969 2.43854 0.000185963
0.328608 538 0.000603506 0.14779 0.305422 -0.147326 2.22348 0.000245145
0.347141 674 0.000526762 0.105814 0.321219 -0.132696 3.28067 0.000137894
0.336377 634 0.000549666 0.135407 0.299404 -0.143444 2.48419 0.000169193
0.302424 616 0.000493866 0.155913 0.291396 -0.145295 1.9397 0.000236311
0.302428 489 0.000620394 0.190805 0.259701 -0.170538 1.58501 0.000522164
0.303883 545 0.000560923 0.160813 0.258388 -0.180222 1.88966 0.000285937
0.279412 556 0.000536787 0.132124 0.282893 -0.143392 2.11477 0.000169193
0.287338 540 0.000570746 0.155067 0.282443 -0.14127 1.853 0.000264365
0.355261 638 0.000543914 0.115834 0.301142 -0.162778 3.06697 0.000150145
0.321747 523 0.000564549 0.0864962 0.28186 -0.1989 3.71978 0.000137894
0.342295 590 0.000592298 0.106495 0.285368 -0.176188 3.21418 0.000164105
0.382872 604 0.000623906 0.206028 0.243882 -0.165238 1.85835 0.000310261
0.286439 558 0.000518632 0.11262 0.275397 -0.109647 2.54341 0.000174522
0.312726 542 0.000618799 0.138186 0.256419 -0.212563 2.26308 0.000164105
0.361487 622 0.00054869 0.122198 0.259876 -0.175438 2.9582 0.000180106
0.293483 543 0.000536366 0.0878677 0.265176 -0.174985 3.34006 0.000150145
0.335024 618 0.000565801 0.0799103 0.302977 -0.139002 4.1925 0.000154594
0.322913 539 0.0005748 0.155709 0.284212 -0.174785 2.07383 0.000254483
0.337452 567 0.000571624 0.105115 0.280326 -0.154955 3.21031 0.000159243
0.306405 543 0.000602089 0.184281 0.296122 -0.187681 1.66271 0.000227947
0.283937 554 0.000561678 0.14953 0.259717 -0.158152 1.89886 0.000220019
0.260344 469 0.000572228 0.0659167 0.288397 -0.211098 3.9496 0.000145886
0.290435 619 0.000496972 0.109891 0.271039 -0.16928 2.64294 0.000150145
0.378507 698 0.000536412 0.126377 0.2672 -0.12893 2.99507 0.000150145
0.319679 562 0.000564831 0.0634643 0.283419 -0.156936 5.03714 0.000127083
0.309438 671 0.000493428 0.0477194 0.366798 -0.0827768 6.48453 9.23091e-05
0.302472 613 0.000490765 0.163048 0.340777 -0.119112 1.85511 0.000254483
0.273563 596 0.000498592 0.0811381 0.336724 -0.0890375 3.37158 0.000141806
0.285894 590 0.000518633 0.0929793 0.34178 -0.103028 3.07481 0.000154594
0.281337 605 0.000458108 0.143294 0.335561 -0.0799356 1.96336 0.00019211
0.29608 666 0.000429562 0.0717578 0.349249 -0.0434706 4.1261 0.000141806
0.260719 562 0.000453957 0.116704 0.356094 -0.115434 2.23403 0.000180106
0.296058 628 0.000479009 0.0941726 0.354671 -0.0706894 3.14378 0.000154594
0.299839 683 0.000446961 0.0865455 0.370066 -0.0842183 3.46453 0.000134142
0.257035 518 0.000512108 0.122765 0.329244 -0.142615 2.09372 0.00019211
0.293722 554 0.000536345 0.0944039 0.36543 -0.166337 3.11134 0.000145886
0.280919 566 0.000473196 0.08904 0.293259 -0.138659 3.15498 0.000141806
0.307484 569 0.000513938 0.133581 0.343462 -0.112864 2.30185 0.000205355
0.333224 530 0.000587138 0.162338 0.365444 -0.142329 2.05265 0.000310261
0.24294 555 0.000437992 0.0884105 0.391214 -0.0960791 2.74786 0.000164105
0.303547 628 0.000481367 0.0779835 0.305189 -0.0837325 3.89245 0.000123761
0.239393 482 0.000512968 0.065058 0.368627 -0.0988724 3.67969 0.000137894
0.295005 604 0.000492266 0.0860759 0.326601 -0.08916 3.42726 0.000145886
0.296711 539 0.000519417 0.0650254 0.275642 -0.123697 4.56301 0.000137894
0.262551 585 0.000454445 0.0643781 0.308755 -0.0710339 4.07827 0.000127083
0.290387 536 0.000542508 0.0812933 0.293717 -0.196708 3.5721 0.000120567
0.250397 483 0.000541935 0.103874 0.313934 -0.169276 2.41057 0.000185963
0.278701 572 0.000469936 0.0880577 0.290036 -0.122678 3.16497 0.000130541
0.249052 579 0.000469706 0.093886 0.30394 -0.0826331 2.65271 0.000185963
0.272305 555 0.000500336 0.0638691 0.305478 -0.154931 4.26348 0.000123761
0.320097 558 0.000561024 0.0826226 0.307864 -0.166315 3.87421 0.000137894
0.297669 517 0.000546813 0.128706 0.316627 -0.134913 2.31278 0.000254483
0.276514 486 0.000562835 0.209027 0.34677 -0.114886 1.32286 0.000551576
0.295554 552 0.000517896 0.0809909 0.350748 -0.125549 3.64922 0.000164105
0.256617 552 0.000472603 0.0676642 0.329068 -0.127615 3.79251 0.000134142
0.267999 501 0.000514031 0.0707651 0.326875 -0.12025 3.78717 0.000130541
0.294557 562 0.00049288 0.0366735 0.287579 -0.110807 8.03187 9.02464e-05
0.299985 527 0.000526321 0.0876325 0.315977 -0.112646 3.42322 0.000141806
0.294394 599 0.000494712 0.0418567 0.382413 -0.142019 7.03338 9.23091e-05
0.30496 623 0.000477516 0.0846886 0.337955 -0.0988991 3.60096 0.000123761
0.307452 616 0.000497788 0.0741278 0.278162 -0.122381 4.14759 0.000106312
0.256821 547 0.000486049 0.0585003 0.27743 -0.118737 4.39009 9.894e-05
0.271974 534 0.000511954 0.0757842 0.359303 -0.177147 3.5888 0.000120567
0.292514 586 0.000498016 0.0595335 0.311371 -0.110967 4.91345 0.000103766
0.276608 555 0.000497378 0.0945359 0.355202 -0.101413 2.92596 0.000159243
0.284212 517 0.000562265 0.0800845 0.332832 -0.187109 3.5489 0.000134142
0.290594 529 0.000577978 0.0684255 0.329064 -0.219569 4.24687 0.000103766
0.259725 514 0.000484094 0.0847758 0.341662 -0.153929 3.06367 0.000130541
0.257228 532 0.000490857 0.105963 0.299769 -0.111873 2.42752 0.000180106
0.276242 541 0.000487641 0.0744134 0.322868 -0.128323 3.71227 0.000145886
0.236713 567 0.000414046 0.0652706 0.346912 -0.0811546 3.62664 0.000141806
0.301939 616 0.000487879 0.0640541 0.32053 -0.111742 4.7138 0.000106312
0.226078 558 0.000407564 0.0828448 0.31534 -0.0538289 2.72893 0.000185963
0.267728 552 0.00048359 0.0714055 0.332465 -0.175673 3.7494 0.000108953
0.289822 551 0.000534837 0.0297947 0.394088 -0.200884 9.72728 8.82521e-05
0.24376 544 0.000459061 0.100727 0.336227 -0.0751546 2.42001 0.000205355
0.580024 490 0.00116181 0.0108059 0.398234 -0.381265 53.6768 7.75653e-05
0.536471 466 0.0011725 0.018552 0.371943 -0.420269 28.9172 7.44317e-05
0.551215 504 0.00113585 0.0106128 0.360228 -0.329457 51.9385 7.44317e-05
0.586632 484 0.00114347 0.0473284 0.393584 -0.356814 12.3949 9.02464e-05
0.601113 483 0.00122943 0.00675906 0.450352 -0.395278 88.9345 7.44317e-05
0.59095 447 0.00130403 0.00673973 0.350197 -0.457631 87.6815 7.44317e-05
0.485391 449 0.00112356 0.00303052 0.343446 -0.36846 160.167 7.14842e-05
0.591641 472 0.00126348 0.00324739 0.422724 -0.479172 182.19 7.29356e-05
0.516834 422 0.00117379 0.0286472 0.395631 -0.490365 18.0413 7.92069e-05
0.671312 513 0.00137158 0.00189767 0.344928 -0.391475 353.756 7.29356e-05
0.552762 465 0.00116312 0.0272955 0.364692 -0.43539 20.2511 7.29356e-05
0.59526 493 0.00119517 0.00575215 0.357316 -0.343219 103.485 7.29356e-05
0.716988 522 0.00135607 0.0050795 0.336764 -0.402412 141.153 7.14842e-05
0.505275 472 0.00112696 0.0133288 0.384995 -0.392099 37.9084 7.44317e-05
0.504938 447 0.00119593 0.0224309 0.397941 -0.428063 22.5108 8.09011e-05
0.52422 466 0.00121057 0.000306783 0.431194 -0.456451 1708.76 7.14842e-05
0.494297 458 0.00108416 0.0132083 0.381037 -0.388649 37.4231 7.59743e-05
0.577887 476 0.00123373 0.0133085 0.410361 -0.472127 43.4222 7.44317e-05
0.582993 489 0.00119774 0.0104828 0.363666 -0.373625 55.614 7.44317e-05
0.514614 469 0.00106385 0.0443022 0.340589 -0.41729 11.616 9.02464e-05
0.585824 525 0.00111225 0.000534502 0.412677 -0.304988 1096.02 7.29356e-05
0.547514 470 0.00111425 0.0114027 0.395735 -0.391038 48.0164 7.29356e-05
0.565262 468 0.00108621 0.00353464 0.345214 -0.392049 159.921 7.14842e-05
0.536681 465 0.00120905 0.0248162 0.418709 -0.441098 21.6262 7.44317e-05
0.593873 487 0.00117314 0.029595 0.354911 -0.380404 20.0667 8.09011e-05
0.526278 439 0.0011655 0.0006655 0.371964 -0.47024 790.801 7.14842e-05
0.58007 497 0.00114858 0.0191812 0.385283 -0.356057 30.2416 7.44317e-05
0.532103 456 0.00116035 0.0113497 0.377394 -0.462492 46.8827 7.44317e-05
0.445916 444 0.00104646 0.00274813 0.380908 -0.354187 162.261 7.14842e-05
0.631252 512 0.00127681 0.00468323 0.436543 -0.444587 134.79 7.14842e-05
0.569993 492 0.0012134 0.0150182 0.380288 -0.414923 37.9534 7.14842e-05
0.511217 516 0.0010809 0.00042941 0.358181 -0.292616 1190.51 7.29356e-05
0.630857 500 0.00116001 0.0047701 0.340348 -0.335798 132.252 7.14842e-05
0.404005 430 0.00102968 0.00448109 0.449432 -0.38567 90.1579 7.14842e-05
0.472074 425 0.00105371 0.00168164 0.386908 -0.40808 280.723 7.14842e-05
0.507129 456 0.00114834 0.0163023 0.360995 -0.421785 31.1078 7.59743e-05
0.498145 463 0.00104204 0.00505515 0.336017 -0.330383 98.5421 7.14842e-05
0.492673 465 0.00107044 0.0442996 0.367178 -0.351844 11.1214 9.23091e-05
0.476701 451 0.0011055 0.00836046 0.340231 -0.363017 57.0185 7.59743e-05
0.54248 475 0.00105986 0.0126984 0.384329 -0.291442 42.7203 7.75653e-05
0.569743 476 0.00122375 0.0136659 0.459705 -0.422267 41.691 7.44317e-05
0.757529 489 0.00139716 0.0148275 0.560382 -0.497076 51.0895 7.44317e-05
0.600297 502 0.00118455 0.0165048 0.464605 -0.417626 36.3711 7.44317e-05
0.642209 487 0.00139001 0.016462 0.417931 -0.480782 39.0115 7.59743e-05
0.633605 493 0.0013015 0.0108752 0.44544 -0.418766 58.2613 7.75653e-05
0.597816 446 0.00127173 0.0300234 0.388147 -0.452359 19.9117 7.59743e-05
0.659325 484 0.00125477 0.0141329 0.413511 -0.413164 46.6517 7.44317e-05
0.487049 449 0.00129337 0.0039923 0.393681 -0.536935 121.997 7.14842e-05
0.582467 462 0.00130359 0.00852542 0.417876 -0.510297 68.3212 7.44317e-05
0.643045 469 0.00136286 0.0165015 0.335339 -0.486255 38.9689 7.75653e-05
0.737625 532 0.00139436 0.0404479 0.321501 -0.367232 18.2365 8.09011e-05
0.549977 451 0.00121522 0.0137482 0.388589 -0.478859 40.0037 7.92069e-05
0.528525 469 0.00122262 0.0287396 0.328457 -0.436746 18.3901 8.26502e-05
0.63182 463 0.00121433 0.00437633 0.370148 -0.460156 144.372 7.14842e-05
0.611623 481 0.00139996 0.00424736 0.350992 -0.49869 144.001 7.29356e-05
0.532848 467 0.00119729 0.0382093 0.360708 -0.420292 13.9455 7.75653e-05
0.544587 494 0.00119378 0.0069478 0.422326 -0.377323 78.3827 7.14842e-05
0.712034 498 0.00140281 0.00761787 0.360146 -0.42952 93.4689 7.59743e-05
0.558676 491 0.00111063 0.0197908 0.408809 -0.449965 28.229 7.59743e-05
0.540717 482 0.00120888 0.0288855 0.368841 -0.403275 18.7193 7.75653e-05
0.522909 451 0.0012015 0.00393178 0.445731 -0.376315 132.996 7.29356e-05
0.633867 487 0.00130523 0.00896344 0.314305 -0.451989 70.7169 7.44317e-05
0.711057 491 0.00133903 0.00509786 0.359456 -0.40465 139.481 7.44317e-05
0.622662 499 0.00129737 0.000605301 0.368344 -0.400839 1028.68 7.14842e-05
0.722761 516 0.00140213 0.0379515 0.34186 -0.445534 19.0443 7.75653e-05
0.578772 441 0.0013089 0.0339156 0.338502 -0.440465 17.0651 8.26502e-05
0.723276 514 0.00139542 0.0239151 0.385708 -0.402856 30.2434 7.59743e-05
0.617997 481 0.00126807 0.0227605 0.403753 -0.433609 27.1522 7.75653e-05
0.646565 501 0.00129719 0.0154624 0.365948 -0.401964 41.8154 7.59743e-05
0.599662 497 0.00125128 0.0144731 0.419949 -0.408128 41.433 7.29356e-05
0.603611 475 0.00128596 0.0186498 0.478015 -0.430835 32.3656 7.44317e-05
0.603805 472 0.00117075 0.0103887 0.39959 -0.400529 58.1215 7.59743e-05
0.575728 436 0.0012294 0.0155165 0.365845 -0.432886 37.1043 8.26502e-05
0.627157 516 0.00118164 0.0845989 0.407299 -0.373086 7.4133 8.63231e-05
0.62061 531 0.00122663 0.00973017 0.486712 -0.367057 63.782 7.29356e-05
0.59315 479 0.00118273 0.0227095 0.355021 -0.416964 26.119 7.44317e-05
0.651444 477 0.00129707 0.0216713 0.380101 -0.448879 30.0602 7.44317e-05
0.61204 510 0.00119841 0.0455633 0.479543 -0.403851 13.4327 7.59743e-05
0.566407 434 0.00124792 0.021752 0.383901 -0.531439 26.0394 7.59743e-05
0.550264 428 0.00129159 0.0102262 0.365128 -0.501532 53.8094 7.92069e-05
0.565351 424 0.00126297 0.000190634 0.438451 -0.58248 2965.63 7.14842e-05
0.719713 487 0.00129758 0.00692824 0.364364 -0.414058 103.881 7.29356e-05
0.553931 451 0.00131091 0.0188291 0.384875 -0.478219 29.4189 7.92069e-05
0.603883 476 0.00129594 0.015385 0.39017 -0.412529 39.2513 7.59743e-05
0.699437 506 0.00139704 0.0154264 0.379252 -0.445283 45.3403 7.29356e-05
0.586053 435 0.00137995 0.0114761 0.427349 -0.589956 51.0673 7.59743e-05
0.6206 457 0.00140375 0.00159038 0.37325 -0.524544 390.221 7.14842e-05
0.677511 476 0.00151375 0.0461509 0.348466 -0.498835 14.6803 8.26502e-05
0.610774 458 0.00129794 0.0408025 0.411242 -0.528184 14.969 7.75653e-05
0.53995 448 0.00131085 0.00833417 0.401446 -0.480766 64.7875 7.44317e-05
0.737302 546 0.00136154 0.0296638 0.358938 -0.380121 24.8553 7.75653e-05
0.570144 437 0.00126204 0.0249922 0.40958 -0.490897 22.8129 7.75653e-05
0.61466 459 0.00132918 0.0587743 0.430912 -0.474396 10.458 9.02464e-05
0.518371 458 0.00120918 0.0400066 0.351382 -0.449835 12.9571 8.09011e-05
0.713251 513 0.00136996 0.026361 0.39017 -0.374043 27.057 8.09011e-05
0.645356 494 0.00132732 0.00932256 0.41412 -0.456011 69.2252 7.75653e-05
0.657246 523 0.00127588 0.0141361 0.384001 -0.382414 46.494 7.44317e-05
0.68009 519 0.00130053 0.0479874 0.392921 -0.380907 14.1723 8.26502e-05
0.54262 502 0.00118886 0.0682724 0.397233 -0.419051 7.94787 9.23091e-05
0.612566 439 0.00133013 0.00848022 0.449428 -0.515767 72.2347 7.59743e-05
0.575535 483 0.00128929 0.0772757 0.378751 -0.430062 7.44782 9.44434e-05
