lambda0 k theta sigma alpha epsilon weight
1.26319 22453 5.60423e-05 0.357794 0.912372 0.85804 5.76832e-05
1.27371 22453 5.60423e-05 0.357794 0.912372 0.85804 4.41637e-05
1.26045 22453 5.60423e-05 0.357794 0.912372 0.85804 3.48948e-05
1.26059 22455 5.60496e-05 0.357794 0.912372 0.85804 5.76832e-05
1.27068 22455 5.60496e-05 0.357794 0.912372 0.85804 3.13183e-05
1.26717 22455 5.60496e-05 0.357794 0.912372 0.85804 2.33593e-05
1.24787 22455 5.60496e-05 0.357794 0.912372 0.85804 4.41637e-05
1.26644 22455 5.60496e-05 0.357794 0.912372 0.85804 6.68988e-05
1.23681 22455 5.60496e-05 0.357794 0.912372 0.85804 3.91208e-05
1.25098 22455 5.60496e-05 0.357794 0.912372 0.85804 2.33593e-05
1.25465 22453 5.60429e-05 0.357794 0.912372 0.85804 5.02485e-05
1.25416 22453 5.60429e-05 0.357794 0.912372 0.85804 3.91208e-05
1.26294 22453 5.60429e-05 0.357794 0.912372 0.85804 2.82648e-05
1.26247 22453 5.60429e-05 0.357794 0.912372 0.85804 3.13183e-05
1.25756 22453 5.6035e-05 0.357794 0.912372 0.85804 5.02485e-05
1.25021 22453 5.6035e-05 0.357794 0.912372 0.85804 4.41637e-05
1.25172 22453 5.6035e-05 0.357794 0.912372 0.85804 3.13183e-05
1.25151 22453 5.6035e-05 0.357794 0.912372 0.85804 7.85132e-05
1.27028 22453 5.6035e-05 0.357794 0.912372 0.85804 5.02485e-05
1.25906 22453 5.6035e-05 0.357794 0.912372 0.85804 2.13722e-05
1.26189 22453 5.6035e-05 0.357794 0.912372 0.85804 0.000230733
1.26905 22453 5.6035e-05 0.357794 0.912372 0.85804 4.41637e-05
1.25142 22453 5.60362e-05 0.357794 0.912372 0.85804 3.91208e-05
1.22856 22453 5.60362e-05 0.357794 0.912372 0.85804 1.96283e-05
1.266 22453 5.60362e-05 0.357794 0.912372 0.85804 5.02485e-05
1.26342 22453 5.60362e-05 0.357794 0.912372 0.85804 7.85132e-05
1.25448 22453 5.60434e-05 0.357794 0.912372 0.85804 3.91208e-05
1.26113 22453 5.60434e-05 0.357794 0.912372 0.85804 0.000139579
