lambda0 k theta sigma alpha epsilon weight
1.2618 22451 5.63944e-05 0.357794 0.912372 0.85804 0.000113059
1.25255 22451 5.63944e-05 0.357794 0.912372 0.85804 6.68988e-05
1.26194 22451 5.63944e-05 0.357794 0.912372 0.85804 3.48948e-05
1.25794 22453 5.64083e-05 0.357794 0.912372 0.85804 3.91208e-05
1.26784 22453 5.64083e-05 0.357794 0.912372 0.85804 3.13183e-05
1.2682 22453 5.64083e-05 0.357794 0.912372 0.85804 3.91208e-05
1.26616 22453 5.64083e-05 0.357794 0.912372 0.85804 3.91208e-05
1.25504 22453 5.64083e-05 0.357794 0.912372 0.85804 0.000113059
1.2634 22453 5.64083e-05 0.357794 0.912372 0.85804 2.82648e-05
1.25611 22457 5.64022e-05 0.357794 0.912372 0.85804 5.76832e-05
1.27242 22457 5.64022e-05 0.357794 0.912372 0.85804 2.33593e-05
1.25654 22457 5.64022e-05 0.357794 0.912372 0.85804 2.5637e-05
1.25516 22457 5.64022e-05 0.357794 0.912372 0.85804 9.34372e-05
1.25655 22457 5.64022e-05 0.357794 0.912372 0.85804 3.91208e-05
1.26208 22457 5.64022e-05 0.357794 0.912372 0.85804 3.48948e-05
1.2679 22457 5.64022e-05 0.357794 0.912372 0.85804 2.5637e-05
1.27423 22457 5.64022e-05 0.357794 0.912372 0.85804 2.5637e-05
1.28212 22457 5.64022e-05 0.357794 0.912372 0.85804 2.33593e-05
1.25538 22457 5.64022e-05 0.357794 0.912372 0.85804 6.68988e-05
1.26611 22457 5.64022e-05 0.357794 0.912372 0.85804 4.41637e-05
1.26962 22457 5.64022e-05 0.357794 0.912372 0.85804 3.91208e-05
1.26383 22449 5.64071e-05 0.357794 0.912372 0.85804 3.48948e-05
1.27089 22449 5.64071e-05 0.357794 0.912372 0.85804 6.68988e-05
1.27881 22447 5.64149e-05 0.357794 0.912372 0.85804 5.76832e-05
1.26852 22447 5.64149e-05 0.357794 0.912372 0.85804 4.41637e-05
1.2708 22447 5.64149e-05 0.357794 0.912372 0.85804 4.41637e-05
1.27436 22437 5.64388e-05 0.357794 0.912372 0.85804 3.91208e-05
1.24241 22437 5.64388e-05 0.357794 0.912372 0.85804 3.13183e-05
1.27213 22437 5.64388e-05 0.357794 0.912372 0.85804 3.91208e-05
1.26307 22437 5.64388e-05 0.357794 0.912372 0.85804 3.13183e-05
1.25686 22437 5.64388e-05 0.357794 0.912372 0.85804 2.82648e-05
1.2652 22437 5.6433e-05 0.357794 0.912372 0.85804 6.68988e-05
1.26158 22437 5.6433e-05 0.357794 0.912372 0.85804 3.13183e-05
1.26733 22437 5.6433e-05 0.357794 0.912372 0.85804 2.5637e-05
1.27876 22437 5.6433e-05 0.357794 0.912372 0.85804 3.91208e-05
1.2594 22437 5.6433e-05 0.357794 0.912372 0.85804 2.5637e-05
1.26446 22439 5.64169e-05 0.357794 0.912372 0.85804 0.000176655
1.26932 22439 5.64169e-05 0.357794 0.912372 0.85804 2.82648e-05
1.2733 22439 5.64169e-05 0.357794 0.912372 0.85804 4.41637e-05
1.27398 22617 5.58364e-05 0.357794 0.912372 0.85804 1.80894e-05
1.26478 22617 5.58364e-05 0.357794 0.912372 0.85804 6.68988e-05
1.25888 22617 5.58364e-05 0.357794 0.912372 0.85804 5.76832e-05
1.26541 22617 5.58364e-05 0.357794 0.912372 0.85804 3.13183e-05
1.25861 22617 5.58364e-05 0.357794 0.912372 0.85804 2.82648e-05
1.26004 22617 5.58364e-05 0.357794 0.912372 0.85804 6.68988e-05
1.26536 22617 5.58364e-05 0.357794 0.912372 0.85804 1.44208e-05
1.27635 22627 5.58198e-05 0.357794 0.912372 0.85804 2.5637e-05
1.25158 22627 5.58198e-05 0.357794 0.912372 0.85804 5.02485e-05
1.27037 22627 5.58198e-05 0.357794 0.912372 0.85804 3.13183e-05
1.26714 22627 5.58198e-05 0.357794 0.912372 0.85804 3.48948e-05
1.26151 22627 5.58198e-05 0.357794 0.912372 0.85804 2.33593e-05
1.25708 22633 5.5824e-05 0.357794 0.912372 0.85804 2.82648e-05
1.26337 22633 5.5824e-05 0.357794 0.912372 0.85804 9.34372e-05
1.2655 22633 5.5824e-05 0.357794 0.912372 0.85804 4.41637e-05
1.26403 22633 5.5824e-05 0.357794 0.912372 0.85804 2.33593e-05
1.25756 22633 5.5824e-05 0.357794 0.912372 0.85804 7.85132e-05
1.26201 22633 5.5824e-05 0.357794 0.912372 0.85804 5.76832e-05
1.26599 22633 5.5824e-05 0.357794 0.912372 0.85804 3.13183e-05
1.26241 22633 5.5824e-05 0.357794 0.912372 0.85804 6.68988e-05
1.24894 22633 5.5824e-05 0.357794 0.912372 0.85804 6.68988e-05
1.2689 22633 5.5824e-05 0.357794 0.912372 0.85804 0.000230733
1.25234 22603 5.58638e-05 0.357794 0.912372 0.85804 3.91208e-05
1.26645 22605 5.58781e-05 0.357794 0.912372 0.85804 3.13183e-05
1.2543 22613 5.58666e-05 0.357794 0.912372 0.85804 5.02485e-05
1.2505 22613 5.58666e-05 0.357794 0.912372 0.85804 3.91208e-05
1.2711 22613 5.58666e-05 0.357794 0.912372 0.85804 5.02485e-05
1.26322 22613 5.58666e-05 0.357794 0.912372 0.85804 6.68988e-05
1.26328 22613 5.58666e-05 0.357794 0.912372 0.85804 1.96283e-05
1.25386 22613 5.58666e-05 0.357794 0.912372 0.85804 5.02485e-05
1.26806 22613 5.58666e-05 0.357794 0.912372 0.85804 2.82648e-05
1.26059 22653 5.57699e-05 0.357794 0.912372 0.85804 4.41637e-05
1.25612 22653 5.57699e-05 0.357794 0.912372 0.85804 2.82648e-05
1.26503 22653 5.57699e-05 0.357794 0.912372 0.85804 3.13183e-05
1.26374 22653 5.57699e-05 0.357794 0.912372 0.85804 2.13722e-05
1.2624 22653 5.57699e-05 0.357794 0.912372 0.85804 3.91208e-05
1.25648 22653 5.57699e-05 0.357794 0.912372 0.85804 7.85132e-05
1.23948 22653 5.57699e-05 0.357794 0.912372 0.85804 5.76832e-05
1.26206 22653 5.57699e-05 0.357794 0.912372 0.85804 3.48948e-05
1.25269 22653 5.57699e-05 0.357794 0.912372 0.85804 3.13183e-05
1.27161 22653 5.57699e-05 0.357794 0.912372 0.85804 7.85132e-05
1.27256 22653 5.57699e-05 0.357794 0.912372 0.85804 2.82648e-05
1.25878 22653 5.57699e-05 0.357794 0.912372 0.85804 3.91208e-05
1.25643 22653 5.57699e-05 0.357794 0.912372 0.85804 2.5637e-05
1.27448 22653 5.57699e-05 0.357794 0.912372 0.85804 3.13183e-05
1.27316 22653 5.57699e-05 0.357794 0.912372 0.85804 2.5637e-05
1.25777 22653 5.57699e-05 0.357794 0.912372 0.85804 7.85132e-05
1.25856 22653 5.57699e-05 0.357794 0.912372 0.85804 3.48948e-05
1.27487 22653 5.57699e-05 0.357794 0.912372 0.85804 1.96283e-05
1.26656 22653 5.57699e-05 0.357794 0.912372 0.85804 0.000176655
1.26627 22607 5.58644e-05 0.357794 0.912372 0.85804 7.85132e-05
1.25837 22607 5.58644e-05 0.357794 0.912372 0.85804 2.33593e-05
1.25033 22607 5.58644e-05 0.357794 0.912372 0.85804 3.13183e-05
1.27016 22573 5.60468e-05 0.357794 0.912372 0.85804 0.000176655
1.26985 22573 5.60468e-05 0.357794 0.912372 0.85804 3.13183e-05
1.2521 22573 5.60468e-05 0.357794 0.912372 0.85804 3.48948e-05
1.26004 22573 5.60468e-05 0.357794 0.912372 0.85804 2.5637e-05
1.26854 22573 5.60468e-05 0.357794 0.912372 0.85804 5.76832e-05
1.27287 22573 5.60468e-05 0.357794 0.912372 0.85804 3.48948e-05
1.27248 22573 5.60468e-05 0.357794 0.912372 0.85804 3.91208e-05
1.26366 22573 5.60468e-05 0.357794 0.912372 0.85804 4.41637e-05
1.25762 22573 5.60468e-05 0.357794 0.912372 0.85804 6.68988e-05
1.2573 22573 5.60468e-05 0.357794 0.912372 0.85804 3.13183e-05
1.27573 22573 5.60468e-05 0.357794 0.912372 0.85804 2.82648e-05
1.26498 22573 5.60468e-05 0.357794 0.912372 0.85804 3.48948e-05
1.27348 22573 5.60468e-05 0.357794 0.912372 0.85804 9.34372e-05
1.27942 22573 5.60468e-05 0.357794 0.912372 0.85804 5.02485e-05
1.26607 22573 5.60468e-05 0.357794 0.912372 0.85804 4.41637e-05
1.25694 22573 5.60468e-05 0.357794 0.912372 0.85804 3.48948e-05
1.26179 22573 5.60468e-05 0.357794 0.912372 0.85804 3.48948e-05
1.26619 22573 5.60468e-05 0.357794 0.912372 0.85804 2.5637e-05
1.26881 22573 5.60468e-05 0.357794 0.912372 0.85804 2.82648e-05
1.26797 22573 5.60468e-05 0.357794 0.912372 0.85804 3.91208e-05
1.26448 22573 5.60468e-05 0.357794 0.912372 0.85804 5.02485e-05
1.27258 22573 5.60468e-05 0.357794 0.912372 0.85804 6.68988e-05
1.26309 22573 5.60468e-05 0.357794 0.912372 0.85804 0.000176655
1.2717 22573 5.60468e-05 0.357794 0.912372 0.85804 5.76832e-05
1.25819 22573 5.60468e-05 0.357794 0.912372 0.85804 5.02485e-05
1.27851 22573 5.60468e-05 0.357794 0.912372 0.85804 6.68988e-05
1.26473 22573 5.60468e-05 0.357794 0.912372 0.85804 4.41637e-05
1.25485 22573 5.60468e-05 0.357794 0.912372 0.85804 2.82648e-05
1.25263 22573 5.60468e-05 0.357794 0.912372 0.85804 5.76832e-05
1.2692 22573 5.60468e-05 0.357794 0.912372 0.85804 2.33593e-05
1.26318 22573 5.60468e-05 0.357794 0.912372 0.85804 2.82648e-05
1.26476 22573 5.60468e-05 0.357794 0.912372 0.85804 7.85132e-05
1.25878 22573 5.60468e-05 0.357794 0.912372 0.85804 3.48948e-05
1.249 22573 5.60468e-05 0.357794 0.912372 0.85804 3.13183e-05
1.25913 22573 5.60468e-05 0.357794 0.912372 0.85804 2.82648e-05
1.26556 22573 5.60468e-05 0.357794 0.912372 0.85804 4.41637e-05
1.25616 22573 5.60468e-05 0.357794 0.912372 0.85804 4.41637e-05
1.25344 22573 5.60468e-05 0.357794 0.912372 0.85804 1.96283e-05
1.26174 22573 5.60468e-05 0.357794 0.912372 0.85804 3.48948e-05
1.25139 22573 5.60468e-05 0.357794 0.912372 0.85804 3.91208e-05
1.26394 22555 5.60657e-05 0.357794 0.912372 0.85804 3.13183e-05
1.26994 22555 5.60657e-05 0.357794 0.912372 0.85804 5.76832e-05
1.26649 22555 5.60657e-05 0.357794 0.912372 0.85804 5.76832e-05
1.26101 22483 5.62599e-05 0.357794 0.912372 0.85804 3.48948e-05
1.26384 22483 5.62599e-05 0.357794 0.912372 0.85804 3.13183e-05
1.27265 22483 5.62599e-05 0.357794 0.912372 0.85804 6.68988e-05
1.27075 22483 5.62599e-05 0.357794 0.912372 0.85804 4.41637e-05
1.26854 22483 5.62599e-05 0.357794 0.912372 0.85804 4.41637e-05
1.25048 22483 5.62599e-05 0.357794 0.912372 0.85804 4.41637e-05
1.26925 22483 5.62599e-05 0.357794 0.912372 0.85804 3.91208e-05
1.26568 22483 5.62599e-05 0.357794 0.912372 0.85804 5.02485e-05
1.24258 22571 5.59972e-05 0.357794 0.912372 0.85804 2.82648e-05
1.28087 22571 5.59972e-05 0.357794 0.912372 0.85804 3.91208e-05
1.26449 22571 5.59972e-05 0.357794 0.912372 0.85804 2.82648e-05
1.27162 22577 5.5997e-05 0.357794 0.912372 0.85804 3.48948e-05
1.26599 22577 5.5997e-05 0.357794 0.912372 0.85804 2.82648e-05
1.27086 22577 5.5997e-05 0.357794 0.912372 0.85804 1.67247e-05
1.27015 22577 5.5997e-05 0.357794 0.912372 0.85804 5.02485e-05
1.26204 22577 5.5997e-05 0.357794 0.912372 0.85804 2.82648e-05
1.26104 22575 5.60005e-05 0.357794 0.912372 0.85804 6.68988e-05
1.26852 22575 5.60005e-05 0.357794 0.912372 0.85804 2.33593e-05
1.26002 22575 5.60005e-05 0.357794 0.912372 0.85804 6.68988e-05
1.25772 22575 5.60005e-05 0.357794 0.912372 0.85804 5.02485e-05
1.26679 22575 5.60005e-05 0.357794 0.912372 0.85804 7.85132e-05
1.26823 22575 5.60005e-05 0.357794 0.912372 0.85804 5.02485e-05
1.26389 22575 5.60005e-05 0.357794 0.912372 0.85804 2.82648e-05
1.26506 22575 5.60005e-05 0.357794 0.912372 0.85804 3.13183e-05
1.26011 22575 5.60005e-05 0.357794 0.912372 0.85804 5.02485e-05
1.26216 22575 5.60005e-05 0.357794 0.912372 0.85804 3.91208e-05
1.26824 22573 5.59935e-05 0.357794 0.912372 0.85804 3.91208e-05
1.24968 22573 5.59935e-05 0.357794 0.912372 0.85804 3.91208e-05
1.26547 22573 5.59935e-05 0.357794 0.912372 0.85804 3.48948e-05
1.25906 22573 5.59935e-05 0.357794 0.912372 0.85804 5.76832e-05
1.28022 22573 5.59935e-05 0.357794 0.912372 0.85804 3.48948e-05
1.26833 22379 5.65025e-05 0.357794 0.912372 0.85804 5.76832e-05
1.27201 22379 5.65025e-05 0.357794 0.912372 0.85804 2.82648e-05
1.24983 22397 5.64855e-05 0.357794 0.912372 0.85804 5.02485e-05
1.26641 22397 5.64855e-05 0.357794 0.912372 0.85804 2.82648e-05
1.2784 22405 5.64819e-05 0.357794 0.912372 0.85804 3.13183e-05
1.26409 22405 5.64819e-05 0.357794 0.912372 0.85804 5.02485e-05
1.27283 22405 5.64819e-05 0.357794 0.912372 0.85804 5.02485e-05
1.27312 22405 5.64819e-05 0.357794 0.912372 0.85804 3.91208e-05
1.27494 22405 5.64819e-05 0.357794 0.912372 0.85804 0.000113059
1.25672 22405 5.64819e-05 0.357794 0.912372 0.85804 5.76832e-05
1.27019 22405 5.64819e-05 0.357794 0.912372 0.85804 4.41637e-05
1.26118 22401 5.64907e-05 0.357794 0.912372 0.85804 3.91208e-05
1.27126 22401 5.64907e-05 0.357794 0.912372 0.85804 2.13722e-05
1.27922 22401 5.64907e-05 0.357794 0.912372 0.85804 6.68988e-05
1.26427 22401 5.64907e-05 0.357794 0.912372 0.85804 0.000176655
1.25343 22401 5.64907e-05 0.357794 0.912372 0.85804 5.02485e-05
1.26019 22401 5.64907e-05 0.357794 0.912372 0.85804 4.41637e-05
1.26745 22401 5.64907e-05 0.357794 0.912372 0.85804 2.5637e-05
1.26544 22401 5.64907e-05 0.357794 0.912372 0.85804 3.48948e-05
1.26966 22401 5.64907e-05 0.357794 0.912372 0.85804 9.34372e-05
1.25773 22401 5.64907e-05 0.357794 0.912372 0.85804 5.02485e-05
1.26557 22401 5.64907e-05 0.357794 0.912372 0.85804 2.33593e-05
1.25088 22397 5.64866e-05 0.357794 0.912372 0.85804 3.91208e-05
1.25908 22397 5.64866e-05 0.357794 0.912372 0.85804 7.85132e-05
1.27039 22397 5.64866e-05 0.357794 0.912372 0.85804 7.85132e-05
1.28584 22397 5.64866e-05 0.357794 0.912372 0.85804 5.76832e-05
1.25866 22397 5.64866e-05 0.357794 0.912372 0.85804 5.02485e-05
1.26624 22395 5.64995e-05 0.357794 0.912372 0.85804 4.41637e-05
1.27125 22395 5.64995e-05 0.357794 0.912372 0.85804 5.02485e-05
1.26955 22395 5.64979e-05 0.357794 0.912372 0.85804 5.76832e-05
1.25756 22395 5.64979e-05 0.357794 0.912372 0.85804 4.41637e-05
1.27181 22397 5.64936e-05 0.357794 0.912372 0.85804 5.76832e-05
1.26949 22397 5.64936e-05 0.357794 0.912372 0.85804 4.41637e-05
1.26225 22397 5.6496e-05 0.357794 0.912372 0.85804 9.34372e-05
1.2718 22397 5.6496e-05 0.357794 0.912372 0.85804 3.48948e-05
1.28374 22397 5.6496e-05 0.357794 0.912372 0.85804 5.02485e-05
1.26012 22397 5.6496e-05 0.357794 0.912372 0.85804 5.76832e-05
1.26617 22397 5.6496e-05 0.357794 0.912372 0.85804 2.5637e-05
1.26803 22397 5.6496e-05 0.357794 0.912372 0.85804 2.82648e-05
1.25481 22395 5.64981e-05 0.357794 0.912372 0.85804 1.80894e-05
1.26506 22395 5.64981e-05 0.357794 0.912372 0.85804 0.000113059
1.25221 22397 5.64991e-05 0.357794 0.912372 0.85804 5.76832e-05
1.27577 22397 5.64991e-05 0.357794 0.912372 0.85804 3.91208e-05
1.26525 22397 5.64991e-05 0.357794 0.912372 0.85804 2.82648e-05
1.25561 22397 5.64991e-05 0.357794 0.912372 0.85804 4.41637e-05
1.25564 22397 5.64967e-05 0.357794 0.912372 0.85804 5.02485e-05
1.26715 22397 5.64967e-05 0.357794 0.912372 0.85804 6.68988e-05
1.26032 22397 5.64967e-05 0.357794 0.912372 0.85804 2.13722e-05
1.27462 22397 5.64967e-05 0.357794 0.912372 0.85804 3.48948e-05
1.26763 22397 5.64967e-05 0.357794 0.912372 0.85804 4.41637e-05
1.2663 22395 5.64983e-05 0.357794 0.912372 0.85804 3.13183e-05
1.2761 22395 5.64983e-05 0.357794 0.912372 0.85804 3.91208e-05
1.26874 22395 5.64983e-05 0.357794 0.912372 0.85804 6.68988e-05
1.26961 22397 5.65006e-05 0.357794 0.912372 0.85804 3.13183e-05
1.26599 22397 5.65006e-05 0.357794 0.912372 0.85804 4.41637e-05
1.26032 22397 5.65006e-05 0.357794 0.912372 0.85804 3.91208e-05
1.25355 22397 5.65006e-05 0.357794 0.912372 0.85804 6.68988e-05
1.2572 22397 5.65006e-05 0.357794 0.912372 0.85804 2.82648e-05
1.25871 22397 5.65006e-05 0.357794 0.912372 0.85804 0.000113059
1.25981 22397 5.65006e-05 0.357794 0.912372 0.85804 3.13183e-05
1.26162 22399 5.64951e-05 0.357794 0.912372 0.85804 2.82648e-05
1.26865 22399 5.64951e-05 0.357794 0.912372 0.85804 6.68988e-05
1.27327 22399 5.64951e-05 0.357794 0.912372 0.85804 3.91208e-05
1.26548 22399 5.64951e-05 0.357794 0.912372 0.85804 4.41637e-05
1.26198 22399 5.64951e-05 0.357794 0.912372 0.85804 5.02485e-05
1.25412 22399 5.64951e-05 0.357794 0.912372 0.85804 3.91208e-05
1.26187 22401 5.64936e-05 0.357794 0.912372 0.85804 5.76832e-05
1.26821 22401 5.64936e-05 0.357794 0.912372 0.85804 4.41637e-05
1.25799 22401 5.64936e-05 0.357794 0.912372 0.85804 1.96283e-05
1.25503 22395 5.65e-05 0.357794 0.912372 0.85804 3.91208e-05
1.26414 22395 5.65e-05 0.357794 0.912372 0.85804 2.13722e-05
1.26344 22391 5.64899e-05 0.357794 0.912372 0.85804 0.000230733
1.26994 22391 5.64899e-05 0.357794 0.912372 0.85804 2.5637e-05
1.25332 22395 5.64936e-05 0.357794 0.912372 0.85804 9.34372e-05
1.26948 22395 5.64936e-05 0.357794 0.912372 0.85804 2.82648e-05
1.26102 22395 5.64936e-05 0.357794 0.912372 0.85804 5.02485e-05
1.26997 22395 5.64936e-05 0.357794 0.912372 0.85804 3.48948e-05
1.25385 22395 5.64936e-05 0.357794 0.912372 0.85804 3.48948e-05
1.24524 22395 5.64936e-05 0.357794 0.912372 0.85804 5.02485e-05
1.2749 22395 5.64936e-05 0.357794 0.912372 0.85804 7.85132e-05
1.26807 22395 5.64936e-05 0.357794 0.912372 0.85804 5.02485e-05
1.25769 22391 5.64948e-05 0.357794 0.912372 0.85804 6.68988e-05
1.27193 22391 5.64948e-05 0.357794 0.912372 0.85804 2.5637e-05
1.2696 22393 5.64902e-05 0.357794 0.912372 0.85804 2.33593e-05
1.27711 22393 5.64902e-05 0.357794 0.912372 0.85804 3.91208e-05
1.26715 22395 5.64902e-05 0.357794 0.912372 0.85804 2.82648e-05
1.26736 22395 5.64902e-05 0.357794 0.912372 0.85804 3.48948e-05
1.25596 22395 5.64902e-05 0.357794 0.912372 0.85804 4.41637e-05
1.24958 22395 5.64902e-05 0.357794 0.912372 0.85804 3.91208e-05
1.27715 22395 5.64902e-05 0.357794 0.912372 0.85804 4.41637e-05
1.26906 22395 5.64902e-05 0.357794 0.912372 0.85804 5.02485e-05
1.26009 22391 5.64825e-05 0.357794 0.912372 0.85804 9.34372e-05
1.25942 22391 5.64825e-05 0.357794 0.912372 0.85804 3.91208e-05
1.26971 22391 5.64825e-05 0.357794 0.912372 0.85804 5.76832e-05
1.26463 22389 5.64955e-05 0.357794 0.912372 0.85804 3.91208e-05
1.27063 22389 5.64955e-05 0.357794 0.912372 0.85804 9.34372e-05
1.2819 22393 5.65085e-05 0.357794 0.912372 0.85804 0.000139579
1.253 22393 5.65085e-05 0.357794 0.912372 0.85804 9.34372e-05
1.2565 22393 5.65085e-05 0.357794 0.912372 0.85804 4.41637e-05
1.25555 22393 5.65085e-05 0.357794 0.912372 0.85804 3.91208e-05
1.27313 22393 5.65085e-05 0.357794 0.912372 0.85804 5.02485e-05
1.27663 22393 5.65085e-05 0.357794 0.912372 0.85804 3.48948e-05
1.27615 22393 5.65085e-05 0.357794 0.912372 0.85804 4.41637e-05
1.25399 22393 5.65085e-05 0.357794 0.912372 0.85804 3.91208e-05
1.26752 22393 5.65085e-05 0.357794 0.912372 0.85804 5.02485e-05
1.26671 22391 5.65079e-05 0.357794 0.912372 0.85804 6.68988e-05
1.2749 22391 5.65079e-05 0.357794 0.912372 0.85804 5.02485e-05
1.2605 22391 5.65079e-05 0.357794 0.912372 0.85804 2.82648e-05
1.27797 22391 5.65079e-05 0.357794 0.912372 0.85804 4.41637e-05
1.27354 22391 5.65079e-05 0.357794 0.912372 0.85804 5.02485e-05
1.26533 22397 5.65055e-05 0.357794 0.912372 0.85804 2.5637e-05
1.27512 22397 5.65055e-05 0.357794 0.912372 0.85804 2.82648e-05
1.26367 22397 5.65055e-05 0.357794 0.912372 0.85804 6.68988e-05
1.26703 22397 5.65055e-05 0.357794 0.912372 0.85804 5.76832e-05
1.26997 22397 5.65055e-05 0.357794 0.912372 0.85804 3.13183e-05
1.27031 22397 5.65055e-05 0.357794 0.912372 0.85804 3.91208e-05
1.26696 22397 5.65055e-05 0.357794 0.912372 0.85804 3.13183e-05
1.26781 22397 5.65055e-05 0.357794 0.912372 0.85804 4.41637e-05
1.27439 22397 5.65055e-05 0.357794 0.912372 0.85804 4.41637e-05
1.2673 22397 5.65055e-05 0.357794 0.912372 0.85804 3.13183e-05
1.26679 22397 5.65055e-05 0.357794 0.912372 0.85804 3.91208e-05
1.25805 22397 5.65055e-05 0.357794 0.912372 0.85804 0.000176655
1.24378 22397 5.65055e-05 0.357794 0.912372 0.85804 1.80894e-05
1.26587 22397 5.65055e-05 0.357794 0.912372 0.85804 5.02485e-05
1.26206 22397 5.65055e-05 0.357794 0.912372 0.85804 3.91208e-05
1.27975 22397 5.65055e-05 0.357794 0.912372 0.85804 3.91208e-05
1.25768 22397 5.65055e-05 0.357794 0.912372 0.85804 2.33593e-05
1.27142 22397 5.65055e-05 0.357794 0.912372 0.85804 2.5637e-05
1.26838 22397 5.65055e-05 0.357794 0.912372 0.85804 3.91208e-05
1.26825 22397 5.65055e-05 0.357794 0.912372 0.85804 5.76832e-05
1.27733 22397 5.65055e-05 0.357794 0.912372 0.85804 3.48948e-05
1.26888 22397 5.65055e-05 0.357794 0.912372 0.85804 2.33593e-05
1.25877 22397 5.65055e-05 0.357794 0.912372 0.85804 3.91208e-05
1.26762 22397 5.65055e-05 0.357794 0.912372 0.85804 3.48948e-05
1.25999 22397 5.65055e-05 0.357794 0.912372 0.85804 2.82648e-05
1.27884 22397 5.65055e-05 0.357794 0.912372 0.85804 3.48948e-05
1.2531 22397 5.65055e-05 0.357794 0.912372 0.85804 7.85132e-05
1.27264 22397 5.65055e-05 0.357794 0.912372 0.85804 4.41637e-05
1.25928 22397 5.65055e-05 0.357794 0.912372 0.85804 2.82648e-05
1.25808 22397 5.65055e-05 0.357794 0.912372 0.85804 5.76832e-05
1.27424 22397 5.65055e-05 0.357794 0.912372 0.85804 3.91208e-05
1.26748 22397 5.65055e-05 0.357794 0.912372 0.85804 5.76832e-05
1.26312 22397 5.65055e-05 0.357794 0.912372 0.85804 4.41637e-05
1.27316 22389 5.6508e-05 0.357794 0.912372 0.85804 6.68988e-05
1.26041 22389 5.6508e-05 0.357794 0.912372 0.85804 2.5637e-05
1.25676 22399 5.64969e-05 0.357794 0.912372 0.85804 2.82648e-05
1.27941 22399 5.64969e-05 0.357794 0.912372 0.85804 2.82648e-05
1.27077 22399 5.64969e-05 0.357794 0.912372 0.85804 6.68988e-05
1.26517 22399 5.64969e-05 0.357794 0.912372 0.85804 4.41637e-05
1.25798 22399 5.64969e-05 0.357794 0.912372 0.85804 1.55088e-05
1.26274 22399 5.64969e-05 0.357794 0.912372 0.85804 2.13722e-05
1.27145 22399 5.64969e-05 0.357794 0.912372 0.85804 5.76832e-05
1.26647 22399 5.64969e-05 0.357794 0.912372 0.85804 3.48948e-05
1.26199 22399 5.64969e-05 0.357794 0.912372 0.85804 5.02485e-05
1.26467 22399 5.64969e-05 0.357794 0.912372 0.85804 7.85132e-05
1.2709 22399 5.64969e-05 0.357794 0.912372 0.85804 3.91208e-05
1.2583 22399 5.64969e-05 0.357794 0.912372 0.85804 3.13183e-05
1.26201 22399 5.64969e-05 0.357794 0.912372 0.85804 6.68988e-05
1.27616 22399 5.64969e-05 0.357794 0.912372 0.85804 7.85132e-05
1.26472 22399 5.64969e-05 0.357794 0.912372 0.85804 3.48948e-05
1.27181 22399 5.64969e-05 0.357794 0.912372 0.85804 3.91208e-05
1.26827 22399 5.64969e-05 0.357794 0.912372 0.85804 2.82648e-05
1.25336 22399 5.64969e-05 0.357794 0.912372 0.85804 3.13183e-05
1.25744 22399 5.64969e-05 0.357794 0.912372 0.85804 6.68988e-05
1.25361 22399 5.64969e-05 0.357794 0.912372 0.85804 5.02485e-05
1.2484 22399 5.64969e-05 0.357794 0.912372 0.85804 3.13183e-05
1.25862 22399 5.64969e-05 0.357794 0.912372 0.85804 2.33593e-05
1.26183 22399 5.64969e-05 0.357794 0.912372 0.85804 5.76832e-05
1.25954 22399 5.64969e-05 0.357794 0.912372 0.85804 6.68988e-05
1.2779 22399 5.64969e-05 0.357794 0.912372 0.85804 2.5637e-05
1.26343 22389 5.65062e-05 0.357794 0.912372 0.85804 6.68988e-05
1.25511 22389 5.65062e-05 0.357794 0.912372 0.85804 2.5637e-05
1.2626 22401 5.64774e-05 0.357794 0.912372 0.85804 5.76832e-05
1.26416 22401 5.64774e-05 0.357794 0.912372 0.85804 2.33593e-05
1.2656 22401 5.64774e-05 0.357794 0.912372 0.85804 3.91208e-05
1.26969 22401 5.64774e-05 0.357794 0.912372 0.85804 1.44208e-05
1.26924 22393 5.64792e-05 0.357794 0.912372 0.85804 9.34372e-05
1.27066 22393 5.64792e-05 0.357794 0.912372 0.85804 1.34434e-05
1.2671 22393 5.64792e-05 0.357794 0.912372 0.85804 3.48948e-05
1.27466 22393 5.64792e-05 0.357794 0.912372 0.85804 3.91208e-05
1.27701 22393 5.64792e-05 0.357794 0.912372 0.85804 3.91208e-05
1.27427 22391 5.64798e-05 0.357794 0.912372 0.85804 3.13183e-05
1.26872 22391 5.64798e-05 0.357794 0.912372 0.85804 2.5637e-05
1.26371 22391 5.64864e-05 0.357794 0.912372 0.85804 6.68988e-05
1.25889 22391 5.64864e-05 0.357794 0.912372 0.85804 2.5637e-05
1.26521 22393 5.64861e-05 0.357794 0.912372 0.85804 5.02485e-05
1.28 22393 5.64861e-05 0.357794 0.912372 0.85804 0.000176655
1.27556 22393 5.64861e-05 0.357794 0.912372 0.85804 4.41637e-05
1.28416 22393 5.64861e-05 0.357794 0.912372 0.85804 2.82648e-05
1.27114 22393 5.64861e-05 0.357794 0.912372 0.85804 2.82648e-05
1.27073 22389 5.65109e-05 0.357794 0.912372 0.85804 7.85132e-05
1.27924 22389 5.65109e-05 0.357794 0.912372 0.85804 2.82648e-05
1.26984 22391 5.65078e-05 0.357794 0.912372 0.85804 5.02485e-05
