277,359,353,8,349,34,345,355,29,8,-1,200,164,-1,-1,92,-1,53,-1,-1,352,217,-1,310,347,89,288,357,-1,-1,-1,-1,115,353,349,97,-1,360,349,345,150,350,-1,-1,361,53,-1,361,164,70,354,164,349,346,342,224,358,353,128,344,-1,321,8,-1,163,160,342,73,356,351,348,353,344,106,-1,52,53,-1,-1,343,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
359,-1,-1,-1,164,187,209,184,179,384,374,164,191,-1,375,190,-1,379,-1,373,363,-1,378,369,-1,376,-1,-1,27,-1,367,377,133,-1,-1,-1,372,365,71,-1,-1,364,-1,384,321,50,39,30,114,184,362,382,81,95,261,386,-1,-1,371,4,-1,385,-1,-1,138,-1,109,362,382,368,366,357,54,370,180,-1,-1,-1,315,-1,362,382,383,-1,109,-1,380,-1,-1,159,164,384,381,227,288,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
404,-1,219,-1,147,125,397,400,222,140,398,-1,219,399,402,-1,406,-1,-1,242,219,-1,-1,348,405,250,40,-1,220,406,238,7,194,219,388,219,-1,401,-1,219,-1,-1,389,-1,395,217,323,51,194,219,409,277,20,392,-1,3,390,408,-1,-1,150,359,396,-1,375,350,125,395,320,395,244,407,387,-1,159,393,392,-1,309,350,125,395,387,407,320,395,219,391,-1,379,403,397,394,392,-1,320,395,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
191,-1,412,438,53,-1,288,303,-1,71,-1,424,433,-1,417,-1,62,422,72,27,-1,412,161,442,303,-1,53,58,-1,427,356,379,69,-1,406,303,53,183,58,410,345,57,423,444,426,-1,434,288,435,198,422,444,72,27,345,334,-1,327,-1,150,57,438,306,65,330,-1,388,431,334,-1,415,125,-1,98,-1,-1,428,420,303,125,432,-1,438,53,388,125,114,418,-1,14,441,419,416,48,419,-1,421,125,139,-1,48,173,437,329,308,330,57,139,414,-1,429,425,388,125,-1,114,-1,436,303,53,-1,-1,443,311,308,-1,53,411,413,173,329,317,288,70,-1,412,376,-1,433,-1,48,71,-1,433,-1,-1,133,57,422,427,439,-1,27,430,48,440,-1,-1,412,397,-1,162,102,326,80,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
20,-1,462,456,460,140,-1,178,456,77,299,459,-1,145,303,456,448,-1,120,-1,145,231,-1,-1,464,-1,450,458,464,19,461,75,459,456,77,40,463,231,-1,457,447,355,446,248,-1,456,448,-1,8,449,150,455,7,10,451,27,167,-1,456,77,40,-1,453,-1,268,142,86,99,86,456,448,-1,288,74,69,133,271,454,456,460,49,147,456,40,345,457,150,452,-1,74,133,318,445,69,141,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,375,-1,299,252,13,466,41,48,14,351,4,-1,466,172,466,218,237,318,467,101,41,469,-1,81,4,-1,249,65,295,358,48,253,206,295,48,470,466,97,435,-1,70,101,465,98,466,295,468,465,256,102,-1,-1,121,4,2,49,87,375,252,-1,41,141,146,152,158,125,152,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
28,191,479,-1,31,-1,328,341,-1,332,-1,85,97,-1,332,114,199,8,84,332,377,-1,339,337,337,446,-1,46,29,471,470,-1,188,210,-1,-1,277,-1,355,27,56,-1,332,338,358,-1,371,256,85,29,-1,472,481,337,92,355,24,44,480,-1,478,476,470,-1,473,-1,-1,475,196,404,-1,355,27,315,480,27,250,-1,33,117,480,27,120,30,-1,48,75,339,415,481,85,474,387,477,139,-1,-1,24,44,480,355,480,27,15,4,112,56,479,124,479,41,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
55,314,206,-1,485,484,8,7,190,202,48,126,277,-1,482,465,206,-1,4,138,95,491,488,246,52,205,488,-1,97,-1,-1,487,112,255,483,97,-1,323,64,473,335,489,480,246,30,-1,110,55,490,224,-1,-1,-1,-1,304,206,335,486,335,207,112,199,8,132,486,238,49,492,-1,206,-1,4,376,-1,-1,206,95,169,206,211,386,191,206,95,131,206,86,27,345,110,407,387,-1,29,206,335,8,147,112,5,-1,353,15,110,49,-1,147,-1,97,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
291,-1,159,231,2,-1,-1,129,328,268,55,314,48,126,-1,-1,185,505,435,284,147,355,505,334,431,217,500,497,503,169,150,131,41,222,221,98,2,131,-1,505,334,495,69,77,412,497,55,314,48,131,493,7,150,277,499,131,185,206,2,-1,502,425,-1,114,101,131,97,494,315,185,206,2,191,-1,-1,419,303,117,19,92,505,318,344,308,134,68,349,170,344,126,135,496,63,498,344,345,337,-1,504,98,308,435,-1,173,-1,-1,501,67,-1,227,70,74,48,-1,130,133,162,87,98,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
91,-1,-1,448,-1,20,250,507,103,-1,-1,123,514,-1,508,465,153,-1,511,-1,304,511,70,509,511,513,414,-1,64,506,-1,465,20,97,51,4,-1,510,399,32,418,212,512,238,-1,162,-1,-1,302,-1,-1,49,135,-1,112,56,124,97,511,510,399,-1,-1,8,132,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
