lambda,	weight
9.26074,	-11.4852
11.6962,	-11.2518
11.1897,	-11.296
5.80127,	-11.9529
6.09839,	-11.903
13.9268,	-11.0772
8.25958,	-11.5996
8.64601,	-11.5539
9.76284,	-11.4324
9.95896,	-11.4125
4.09178,	-12.302
7.35043,	-11.7163
15.0115,	-11.0022
10.6254,	-11.3478
9.37186,	-11.4733
7.26968,	-11.7273
12.4579,	-11.1887
4.66366,	-12.1712
11.32,	-11.2844
5.44589,	-12.0162
7.37523,	-11.7129
7.76655,	-11.6612
4.28699,	-12.2554
5.58559,	-11.9908
9.63965,	-11.4451
8.0813,	-11.6215
11.862,	-11.2377
5.62239,	-11.9843
3.89481,	-12.3514
7.96527,	-11.6359
7.38415,	-11.7117
2.86972,	-12.6568
8.7634,	-11.5404
7.31801,	-11.7207
7.38899,	-11.711
3.87395,	-12.3567
9.92771,	-11.4157
6.76579,	-11.7991
6.89233,	-11.7806
7.78668,	-11.6586
11.7325,	-11.2487
8.34568,	-11.5893
7.76177,	-11.6618
6.54735,	-11.832
16.1414,	-10.9296
8.53525,	-11.5668
11.0361,	-11.3098
6.74848,	-11.8017
13.0086,	-11.1454
7.47134,	-11.6999
7.66493,	-11.6744
13.0374,	-11.1432
11.1666,	-11.2981
4.38903,	-12.2319
12.0319,	-11.2235
8.51738,	-11.5689
11.1144,	-11.3028
7.36407,	-11.7144
6.05783,	-11.9097
11.4832,	-11.2701
11.0103,	-11.3122
11.937,	-11.2314
12.457,	-11.1887
11.6461,	-11.256
6.72982,	-11.8045
12.5479,	-11.1815
9.51711,	-11.4579
9.61119,	-11.4481
9.82829,	-11.4258
9.90699,	-11.4178
11.968,	-11.2288
5.95191,	-11.9273
10.4687,	-11.3626
9.93884,	-11.4146
6.31429,	-11.8682
8.1086,	-11.6181
6.78225,	-11.7967
7.24402,	-11.7308
4.58419,	-12.1884
11.6135,	-11.2588
8.09091,	-11.6203
4.52278,	-12.2019
13.8214,	-11.0848
15.121,	-10.9949
10.5859,	-11.3515
15.5137,	-10.9693
4.32372,	-12.2469
13.3894,	-11.1166
5.91571,	-11.9334
7.94013,	-11.6391
9.45966,	-11.464
4.93867,	-12.1139
11.3381,	-11.2828
15.0857,	-10.9973
10.9413,	-11.3185
6.54145,	-11.8329
8.51271,	-11.5695
5.60886,	-11.9867
6.56393,	-11.8294
6.83606,	-11.7888
11.8611,	-11.2378
9.21603,	-11.4901
6.50131,	-11.839
8.41523,	-11.581
5.84524,	-11.9454
13.2045,	-11.1305
12.9289,	-11.1516
8.57571,	-11.5621
6.27394,	-11.8746
3.25928,	-12.5295
6.08105,	-11.9058
6.8855,	-11.7816
7.56143,	-11.688
10.1423,	-11.3943
7.65395,	-11.6758
14.6506,	-11.0265
5.93006,	-11.931
5.92602,	-11.9317
8.98968,	-11.5149
9.23173,	-11.4884
9.03788,	-11.5096
6.27606,	-11.8743
8.14331,	-11.6138
10.7995,	-11.3315
7.96036,	-11.6365
6.85963,	-11.7854
7.74041,	-11.6646
4.92829,	-12.116
8.72908,	-11.5444
7.50226,	-11.6958
10.2847,	-11.3804
19.2678,	-10.7526
10.6573,	-11.3448
8.20765,	-11.6059
4.03319,	-12.3165
7.55891,	-11.6883
16.0988,	-10.9323
10.4363,	-11.3657
8.34256,	-11.5896
12.7153,	-11.1682
6.72943,	-11.8045
9.56774,	-11.4526
10.2876,	-11.3801
9.56176,	-11.4532
8.25368,	-11.6004
8.83573,	-11.5322
10.2969,	-11.3792
12.0672,	-11.2205
7.3869,	-11.7113
10.1727,	-11.3913
6.82919,	-11.7898
9.85098,	-11.4234
9.81379,	-11.4272
12.9701,	-11.1484
14.2169,	-11.0566
7.4857,	-11.698
5.47383,	-12.011
8.12436,	-11.6161
9.58939,	-11.4504
11.6616,	-11.2547
12.2625,	-11.2045
5.56054,	-11.9953
4.13489,	-12.2916
8.45904,	-11.5758
10.4336,	-11.366
12.2155,	-11.2083
6.82413,	-11.7906
10.4307,	-11.3663
9.44872,	-11.4651
4.77478,	-12.1477
10.9154,	-11.3208
4.7126,	-12.1608
8.38777,	-11.5842
9.17311,	-11.4947
6.75943,	-11.8001
13.9268,	-11.0772
13.0478,	-11.1424
6.47793,	-11.8426
6.55459,	-11.8309
13.089,	-11.1392
5.36274,	-12.0315
14.6808,	-11.0245
9.99651,	-11.4088
8.69929,	-11.5478
14.2812,	-11.0521
9.26682,	-11.4846
3.81759,	-12.3714
7.90203,	-11.6439
8.80612,	-11.5356
11.8213,	-11.2411
8.90269,	-11.5247
8.9184,	-11.5229
9.45819,	-11.4641
12.954,	-11.1496
10.3573,	-11.3733
6.0587,	-11.9095
5.02048,	-12.0975
16.9488,	-10.8808
7.00694,	-11.7641
8.50025,	-11.5709
6.51847,	-11.8364
11.2644,	-11.2894
5.69896,	-11.9707
9.68846,	-11.4401
11.0724,	-11.3066
12.8085,	-11.1609
7.80221,	-11.6566
6.90479,	-11.7788
6.84498,	-11.7875
10.7324,	-11.3378
8.34172,	-11.5897
13.4245,	-11.1139
8.69115,	-11.5487
10.5995,	-11.3502
7.14167,	-11.7451
10.156,	-11.393
6.24628,	-11.879
4.26909,	-12.2596
5.37695,	-12.0289
9.734,	-11.4354
8.17766,	-11.6096
6.6466,	-11.8169
17.1918,	-10.8666
6.07702,	-11.9065
11.1839,	-11.2965
6.58886,	-11.8256
17.5308,	-10.8471
12.3364,	-11.1985
5.05671,	-12.0903
11.9456,	-11.2307
10.7372,	-11.3373
4.86888,	-12.1282
11.8393,	-11.2396
8.94241,	-11.5202
9.38163,	-11.4723
9.57062,	-11.4523
12.9239,	-11.1519
7.65812,	-11.6752
8.77565,	-11.539
7.63949,	-11.6777
9.40056,	-11.4702
9.39616,	-11.4707
7.34016,	-11.7177
11.1852,	-11.2964
7.71939,	-11.6673
4.48674,	-12.2099
13.5364,	-11.1056
15.2228,	-10.9882
10.2262,	-11.3861
12.0878,	-11.2188
7.50994,	-11.6948
6.35937,	-11.8611
9.41409,	-11.4688
6.42874,	-11.8502
10.2343,	-11.3853
12.6311,	-11.1749
10.469,	-11.3626
6.3282,	-11.866
6.05127,	-11.9107
14.0689,	-11.0671
6.78411,	-11.7964
8.20923,	-11.6058
7.04717,	-11.7584
4.95197,	-12.1112
7.14126,	-11.7451
8.82141,	-11.5338
6.71767,	-11.8063
9.26121,	-11.4852
7.94556,	-11.6384
13.6296,	-11.0988
7.59525,	-11.6835
12.9349,	-11.1511
9.58589,	-11.4507
8.85928,	-11.5296
10.6917,	-11.3415
9.16028,	-11.4961
7.14738,	-11.7443
10.6812,	-11.3425
7.20859,	-11.7357
17.5905,	-10.8437
13.6285,	-11.0989
6.43671,	-11.849
5.59171,	-11.9897
11.3859,	-11.2786
18.909,	-10.7714
8.80404,	-11.5358
5.69694,	-11.9711
9.74922,	-11.4338
7.08208,	-11.7534
15.5132,	-10.9693
7.73563,	-11.6652
9.31494,	-11.4794
9.57471,	-11.4519
6.88932,	-11.781
4.84145,	-12.1338
11.1145,	-11.3028
6.99515,	-11.7658
