lambda,	weight
7.0513,	-11.7578
6.22784,	-11.882
11.1936,	-11.2957
5.98136,	-11.9224
8.40747,	-11.5819
12.0286,	-11.2237
5.80062,	-11.9531
7.0248,	-11.7616
7.2159,	-11.7347
10.658,	-11.3447
6.92977,	-11.7752
7.35604,	-11.7155
12.2139,	-11.2084
7.29791,	-11.7234
8.63805,	-11.5548
10.0995,	-11.3985
4.84796,	-12.1325
5.84197,	-11.9459
8.11263,	-11.6176
8.62866,	-11.5559
11.7886,	-11.2439
12.3029,	-11.2012
7.98476,	-11.6335
9.70948,	-11.4379
10.6357,	-11.3468
7.21917,	-11.7343
9.67114,	-11.4419
7.55572,	-11.6887
17.3726,	-10.8561
9.5979,	-11.4495
10.6062,	-11.3496
6.97371,	-11.7689
10.7464,	-11.3364
8.958,	-11.5185
13.0148,	-11.1449
10.8151,	-11.3301
5.92084,	-11.9325
7.00255,	-11.7647
6.86216,	-11.785
6.49342,	-11.8402
8.13518,	-11.6148
4.75032,	-12.1528
13.3994,	-11.1158
12.3279,	-11.1991
11.2114,	-11.2941
4.00409,	-12.3237
10.8424,	-11.3276
16.1661,	-10.9281
6.02505,	-11.9151
5.85562,	-11.9436
9.97205,	-11.4112
10.3054,	-11.3784
5.84564,	-11.9453
12.4783,	-11.187
6.95636,	-11.7714
9.25194,	-11.4862
6.75015,	-11.8015
5.93694,	-11.9298
6.02617,	-11.9149
8.03343,	-11.6274
8.52801,	-11.5677
11.3401,	-11.2827
7.11982,	-11.7481
10.3823,	-11.3709
8.30688,	-11.5939
11.6981,	-11.2516
6.97986,	-11.768
11.8422,	-11.2393
8.92643,	-11.522
6.80278,	-11.7937
10.8842,	-11.3237
9.58704,	-11.4506
9.90334,	-11.4181
11.7485,	-11.2473
8.73999,	-11.5431
6.07336,	-11.9071
12.1975,	-11.2098
9.86411,	-11.4221
8.05551,	-11.6247
10.3741,	-11.3717
7.50829,	-11.695
8.54242,	-11.566
7.04262,	-11.759
8.85544,	-11.53
7.61423,	-11.681
6.87931,	-11.7825
5.49482,	-12.0072
11.5294,	-11.2661
8.21314,	-11.6053
8.1019,	-11.6189
5.93293,	-11.9305
9.66912,	-11.4421
11.9531,	-11.23
3.4317,	-12.478
8.16664,	-11.611
11.882,	-11.236
7.17252,	-11.7408
10.1958,	-11.389
5.41513,	-12.0218
15.8821,	-10.9458
10.8654,	-11.3254
7.65716,	-11.6754
9.65171,	-11.4439
6.52267,	-11.8357
13.1376,	-11.1355
7.32266,	-11.72
9.66213,	-11.4428
14.2169,	-11.0566
10.1543,	-11.3931
9.57421,	-11.4519
9.2643,	-11.4848
8.40268,	-11.5825
9.85097,	-11.4234
8.39741,	-11.5831
8.54426,	-11.5658
5.69206,	-11.9719
8.30799,	-11.5938
8.79044,	-11.5374
8.17598,	-11.6098
16.6584,	-10.8981
7.20089,	-11.7368
10.4783,	-11.3617
10.435,	-11.3658
11.2975,	-11.2864
3.09042,	-12.5827
9.9609,	-11.4123
11.5881,	-11.261
5.20751,	-12.0609
8.29748,	-11.5951
6.01571,	-11.9166
4.97336,	-12.1069
10.9427,	-11.3183
8.38136,	-11.585
5.49323,	-12.0075
9.87894,	-11.4206
3.95676,	-12.3356
7.81319,	-11.6552
12.162,	-11.2127
8.36919,	-11.5865
5.35941,	-12.0322
17.7271,	-10.8359
5.68538,	-11.9731
8.53076,	-11.5673
7.19833,	-11.7372
6.98477,	-11.7673
5.77003,	-11.9583
7.84251,	-11.6515
8.32518,	-11.5917
18.692,	-10.7829
9.96111,	-11.4123
10.7737,	-11.3339
7.03642,	-11.7599
10.1503,	-11.3935
6.19056,	-11.888
7.54212,	-11.6905
7.64308,	-11.6772
8.56326,	-11.5635
5.74034,	-11.9635
5.06339,	-12.089
11.2178,	-11.2935
5.39171,	-12.0262
9.2779,	-11.4834
7.40361,	-11.709
10.6543,	-11.3451
9.92996,	-11.4155
7.96043,	-11.6365
12.9237,	-11.152
6.12736,	-11.8983
11.2433,	-11.2912
10.191,	-11.3895
11.1738,	-11.2974
8.82453,	-11.5335
8.27755,	-11.5975
18.4789,	-10.7944
8.02199,	-11.6288
9.42317,	-11.4678
7.61186,	-11.6813
11.1492,	-11.2996
6.31015,	-11.8689
5.70928,	-11.9689
8.94407,	-11.52
6.79392,	-11.795
6.78138,	-11.7968
4.72539,	-12.1581
11.08,	-11.3059
15.7314,	-10.9554
8.0497,	-11.6254
9.95062,	-11.4134
7.97443,	-11.6348
4.36537,	-12.2373
6.4855,	-11.8414
5.14154,	-12.0737
10.7349,	-11.3375
6.05506,	-11.9101
9.51128,	-11.4585
11.0974,	-11.3043
8.92658,	-11.522
6.86573,	-11.7845
7.60752,	-11.6819
4.88209,	-12.1254
13.1933,	-11.1313
9.14901,	-11.4974
7.74878,	-11.6635
7.51646,	-11.6939
2.95129,	-12.6288
10.0868,	-11.3998
7.23801,	-11.7317
14.7918,	-11.0169
9.56557,	-11.4528
10.7081,	-11.34
10.912,	-11.3212
9.51734,	-11.4579
11.8701,	-11.237
9.73624,	-11.4352
5.12618,	-12.0767
9.20005,	-11.4918
7.86865,	-11.6481
8.73296,	-11.5439
8.88189,	-11.527
10.4542,	-11.364
11.6865,	-11.2526
5.87838,	-11.9397
9.53985,	-11.4555
5.31606,	-12.0403
8.08988,	-11.6204
10.258,	-11.383
8.45097,	-11.5767
10.7007,	-11.3407
6.7389,	-11.8031
6.31026,	-11.8688
5.95725,	-11.9264
6.01022,	-11.9176
7.37026,	-11.7136
7.94421,	-11.6386
7.87874,	-11.6468
6.4253,	-11.8508
13.7747,	-11.0882
8.57611,	-11.562
5.67265,	-11.9754
8.46709,	-11.5748
8.93531,	-11.521
4.58102,	-12.1891
7.37694,	-11.7127
10.022,	-11.4062
12.7094,	-11.1687
10.3904,	-11.3701
7.76144,	-11.6618
8.34344,	-11.5895
8.94342,	-11.5201
6.22216,	-11.8829
6.68226,	-11.8116
6.62953,	-11.8195
9.9565,	-11.4128
12.368,	-11.1959
5.9179,	-11.933
6.37267,	-11.859
6.28619,	-11.8727
9.21004,	-11.4907
8.20191,	-11.6066
4.7967,	-12.1431
5.25063,	-12.0527
11.7977,	-11.2431
9.48361,	-11.4615
8.09659,	-11.6196
5.01747,	-12.0981
8.29312,	-11.5956
11.1614,	-11.2986
9.30699,	-11.4803
2.90708,	-12.6439
13.4511,	-11.112
8.06705,	-11.6232
13.7146,	-11.0926
15.7003,	-10.9573
12.5624,	-11.1803
10.3239,	-11.3766
12.5038,	-11.185
8.81492,	-11.5346
11.2338,	-11.2921
10.5221,	-11.3575
12.1524,	-11.2135
10.2698,	-11.3818
10.4861,	-11.361
5.53089,	-12.0007
10.5451,	-11.3554
7.19994,	-11.7369
5.77545,	-11.9574
5.23864,	-12.055
8.99478,	-11.5144
5.44495,	-12.0163
13.5384,	-11.1055
6.05004,	-11.911
5.73535,	-11.9644
7.46701,	-11.7005
4.87839,	-12.1262
5.43775,	-12.0177
6.18347,	-11.8891
7.2114,	-11.7354
9.75225,	-11.4335
11.0969,	-11.3043
12.3815,	-11.1948
6.57618,	-11.8276
7.43308,	-11.7051
6.94989,	-11.7723
9.59524,	-11.4497
9.06803,	-11.5063
9.48239,	-11.4616
5.45288,	-12.0149
4.51473,	-12.2037
9.96742,	-11.4117
9.24831,	-11.4866
15.5882,	-10.9645
9.25932,	-11.4854
8.46412,	-11.5752
9.08629,	-11.5042
11.4613,	-11.272
10.9198,	-11.3204
9.56874,	-11.4525
11.9044,	-11.2341
10.0244,	-11.406
7.06055,	-11.7565
5.63225,	-11.9825
7.99319,	-11.6324
8.34989,	-11.5888
6.84849,	-11.787
11.5295,	-11.2661
9.49059,	-11.4607
9.06264,	-11.5069
6.55209,	-11.8312
9.13967,	-11.4984
10.2504,	-11.3837
13.45,	-11.112
6.96053,	-11.7708
4.55658,	-12.1944
10.508,	-11.3589
7.1196,	-11.7482
15.4579,	-10.9729
6.25496,	-11.8776
8.52602,	-11.5679
10.7838,	-11.333
8.77521,	-11.5391
7.96314,	-11.6362
11.0676,	-11.307
8.41408,	-11.5811
6.34277,	-11.8637
8.77758,	-11.5388
12.4297,	-11.1909
12.2102,	-11.2087
6.62876,	-11.8196
7.99085,	-11.6327
6.16247,	-11.8925
7.60157,	-11.6827
5.89912,	-11.9362
5.23123,	-12.0564
6.58142,	-11.8268
6.98691,	-11.767
13.1146,	-11.1373
12.3635,	-11.1963
7.98665,	-11.6332
14.3167,	-11.0496
9.08254,	-11.5047
12.1678,	-11.2122
8.15201,	-11.6128
4.14651,	-12.2887
13.1244,	-11.1365
15.6293,	-10.9619
12.7111,	-11.1685
10.6382,	-11.3466
9.11954,	-11.5006
11.8664,	-11.2373
6.53018,	-11.8346
11.321,	-11.2844
10.2628,	-11.3825
7.97626,	-11.6345
6.36819,	-11.8597
9.90815,	-11.4177
5.26596,	-12.0498
13.6614,	-11.0964
8.37239,	-11.5861
12.2828,	-11.2028
10.4006,	-11.3692
10.855,	-11.3264
10.0753,	-11.4009
8.96174,	-11.5181
10.6959,	-11.3412
3.03088,	-12.6022
9.80031,	-11.4286
4.92492,	-12.1167
9.92443,	-11.416
12.4551,	-11.1889
9.49037,	-11.4607
9.1363,	-11.4988
8.74517,	-11.5425
7.07429,	-11.7545
9.65764,	-11.4433
5.81061,	-11.9513
6.29942,	-11.8706
4.20254,	-12.2753
5.84645,	-11.9452
10.8775,	-11.3243
7.10383,	-11.7504
7.13156,	-11.7465
11.8799,	-11.2362
5.1084,	-12.0801
7.25751,	-11.729
5.8029,	-11.9527
10.3702,	-11.3721
12.2087,	-11.2089
7.70473,	-11.6692
4.69936,	-12.1636
6.56509,	-11.8292
4.39925,	-12.2296
18.6024,	-10.7877
6.44234,	-11.8481
7.10529,	-11.7502
9.87905,	-11.4206
8.17328,	-11.6101
13.9229,	-11.0775
8.10776,	-11.6182
11.6193,	-11.2584
6.4992,	-11.8393
5.90438,	-11.9353
6.52046,	-11.8361
14.4789,	-11.0383
10.5629,	-11.3537
7.43531,	-11.7048
12.5238,	-11.1834
6.95724,	-11.7712
3.72832,	-12.3951
12.6827,	-11.1708
6.21041,	-11.8848
16.1813,	-10.9272
14.1815,	-11.0591
13.2625,	-11.1261
6.60274,	-11.8235
6.66749,	-11.8138
5.77753,	-11.957
5.18222,	-12.0658
5.62577,	-11.9837
6.73595,	-11.8036
5.07527,	-12.0866
11.3072,	-11.2856
6.517,	-11.8366
9.59663,	-11.4496
17.361,	-10.8568
6.20224,	-11.8861
5.30285,	-12.0428
8.22219,	-11.6042
3.52096,	-12.4523
7.04534,	-11.7586
6.60957,	-11.8225
10.294,	-11.3795
5.83219,	-11.9476
9.97869,	-11.4106
12.7921,	-11.1622
8.77153,	-11.5395
10.6691,	-11.3437
9.58375,	-11.4509
12.385,	-11.1945
8.43301,	-11.5789
8.90101,	-11.5249
7.68713,	-11.6715
10.8319,	-11.3285
7.82384,	-11.6538
7.68698,	-11.6715
7.40304,	-11.7091
10.6047,	-11.3497
5.61555,	-11.9855
14.2957,	-11.0511
8.19442,	-11.6076
10.4368,	-11.3657
11.6508,	-11.2556
6.37192,	-11.8591
11.7437,	-11.2477
11.5581,	-11.2636
13.2902,	-11.124
13.6007,	-11.1009
12.6429,	-11.1739
12.176,	-11.2116
5.81885,	-11.9499
6.98097,	-11.7678
7.98951,	-11.6329
12.4806,	-11.1868
8.60026,	-11.5592
11.8583,	-11.238
8.11704,	-11.6171
4.76356,	-12.15
8.07445,	-11.6223
7.32179,	-11.7202
8.16787,	-11.6108
6.24567,	-11.8791
13.2207,	-11.1292
10.0749,	-11.401
6.97673,	-11.7684
8.94304,	-11.5201
10.5119,	-11.3585
6.69182,	-11.8101
7.23137,	-11.7326
8.80689,	-11.5355
10.0853,	-11.3999
11.1426,	-11.3002
6.18147,	-11.8895
13.7704,	-11.0885
5.25942,	-12.051
7.6832,	-11.672
16.3346,	-10.9177
5.31397,	-12.0407
10.0426,	-11.4042
5.73071,	-11.9652
7.58943,	-11.6843
4.9165,	-12.1184
7.522,	-11.6932
12.6421,	-11.174
6.11705,	-11.8999
7.66658,	-11.6741
17.5754,	-10.8445
8.49759,	-11.5712
7.14617,	-11.7444
8.08252,	-11.6213
6.97331,	-11.7689
10.6118,	-11.349
16.3055,	-10.9195
8.67003,	-11.5511
10.6155,	-11.3487
13.3514,	-11.1194
9.04562,	-11.5087
5.9899,	-11.9209
8.08398,	-11.6211
8.23018,	-11.6032
6.45293,	-11.8465
12.8877,	-11.1547
5.52652,	-12.0015
5.64786,	-11.9797
6.92378,	-11.7761
8.54566,	-11.5656
5.22367,	-12.0578
9.19068,	-11.4928
4.23503,	-12.2676
4.24637,	-12.265
15.2417,	-10.987
9.41417,	-11.4688
7.20923,	-11.7357
7.96409,	-11.6361
8.34214,	-11.5897
11.7571,	-11.2466
7.73379,	-11.6654
9.35999,	-11.4746
11.2141,	-11.2938
7.16445,	-11.7419
10.8763,	-11.3244
10.5202,	-11.3577
13.7962,	-11.0866
8.59656,	-11.5597
8.42171,	-11.5802
9.33142,	-11.4776
6.61592,	-11.8215
11.4665,	-11.2716
10.4159,	-11.3677
6.29104,	-11.8719
13.0651,	-11.1411
11.1921,	-11.2958
5.58855,	-11.9903
9.68898,	-11.44
8.78344,	-11.5381
13.3156,	-11.1221
7.58613,	-11.6847
11.276,	-11.2883
4.74691,	-12.1535
7.75365,	-11.6629
8.48981,	-11.5721
8.0002,	-11.6315
7.67772,	-11.6727
9.58666,	-11.4506
6.463,	-11.8449
11.0598,	-11.3077
11.4819,	-11.2702
8.97704,	-11.5163
8.58897,	-11.5605
6.8727,	-11.7835
6.59326,	-11.825
9.95687,	-11.4128
7.92851,	-11.6406
8.48722,	-11.5725
8.92128,	-11.5226
5.66259,	-11.9771
8.74367,	-11.5427
8.79808,	-11.5365
7.10891,	-11.7497
10.6566,	-11.3448
8.94009,	-11.5205
14.2007,	-11.0577
10.7603,	-11.3352
19.3646,	-10.7476
4.95456,	-12.1107
8.65876,	-11.5524
6.34077,	-11.864
11.9338,	-11.2316
6.72972,	-11.8045
12.6412,	-11.1741
8.14782,	-11.6133
7.36624,	-11.7141
7.33132,	-11.7189
8.59638,	-11.5597
11.5833,	-11.2615
7.8032,	-11.6565
8.18292,	-11.609
6.388,	-11.8566
10.5867,	-11.3514
8.07857,	-11.6218
6.5633,	-11.8295
9.13509,	-11.4989
8.62497,	-11.5564
5.98328,	-11.922
6.44468,	-11.8478
4.84926,	-12.1322
10.4438,	-11.365
6.68903,	-11.8105
9.21327,	-11.4904
4.7619,	-12.1504
11.938,	-11.2313
11.0466,	-11.3089
7.70402,	-11.6693
10.6179,	-11.3485
8.19537,	-11.6074
6.65161,	-11.8162
7.22341,	-11.7337
5.29547,	-12.0442
11.9694,	-11.2287
6.89443,	-11.7803
9.73284,	-11.4355
8.39202,	-11.5837
8.70573,	-11.547
7.49074,	-11.6973
14.0827,	-11.0661
10.5257,	-11.3572
14.1872,	-11.0587
8.63916,	-11.5547
8.11625,	-11.6171
7.79806,	-11.6571
10.6146,	-11.3488
4.13144,	-12.2924
9.72269,	-11.4366
8.6964,	-11.5481
12.2213,	-11.2078
10.0049,	-11.4079
5.48677,	-12.0087
9.17774,	-11.4942
10.5313,	-11.3567
6.47137,	-11.8436
17.0442,	-10.8752
5.9661,	-11.9249
7.66103,	-11.6749
8.08779,	-11.6207
14.6472,	-11.0268
6.33527,	-11.8649
7.80285,	-11.6565
6.6078,	-11.8228
7.67244,	-11.6734
7.85037,	-11.6505
4.66138,	-12.1717
11.5096,	-11.2678
8.55183,	-11.5649
10.9441,	-11.3182
10.9504,	-11.3176
8.39944,	-11.5829
10.9353,	-11.319
5.59891,	-11.9884
14.3572,	-11.0468
6.30216,	-11.8701
11.6074,	-11.2594
6.77644,	-11.7976
11.6794,	-11.2532
5.93627,	-11.9299
7.29596,	-11.7237
10.0807,	-11.4004
7.57418,	-11.6863
8.185,	-11.6087
6.32212,	-11.867
8.53171,	-11.5672
7.65546,	-11.6756
7.50309,	-11.6957
8.20406,	-11.6064
8.0207,	-11.629
4.79643,	-12.1431
5.81386,	-11.9508
10.3356,	-11.3754
9.99229,	-11.4092
5.78638,	-11.9555
7.39882,	-11.7097
11.9686,	-11.2287
8.69473,	-11.5483
8.08598,	-11.6209
5.45424,	-12.0146
7.55845,	-11.6884
11.3568,	-11.2812
5.74877,	-11.962
8.67308,	-11.5508
9.17092,	-11.495
7.1233,	-11.7476
8.77305,	-11.5393
10.9561,	-11.3171
7.20407,	-11.7364
6.40142,	-11.8545
8.10168,	-11.6189
5.68804,	-11.9727
5.42649,	-12.0197
5.67789,	-11.9744
9.30265,	-11.4807
8.33163,	-11.591
6.84915,	-11.7869
5.99203,	-11.9206
3.52775,	-12.4504
8.51354,	-11.5694
11.8889,	-11.2354
8.44689,	-11.5772
8.01871,	-11.6292
11.4284,	-11.2749
9.17417,	-11.4946
6.06126,	-11.9091
5.58245,	-11.9914
9.64296,	-11.4448
7.65614,	-11.6755
7.27655,	-11.7264
10.808,	-11.3307
7.11746,	-11.7485
8.18959,	-11.6082
8.91674,	-11.5231
9.8336,	-11.4252
8.87317,	-11.528
7.3383,	-11.7179
4.38993,	-12.2317
6.58114,	-11.8268
5.90163,	-11.9358
11.0497,	-11.3086
7.02762,	-11.7612
9.73616,	-11.4352
11.0213,	-11.3112
7.92919,	-11.6405
8.73824,	-11.5433
5.95925,	-11.9261
8.12215,	-11.6164
3.86875,	-12.3581
7.32891,	-11.7192
7.24723,	-11.7304
9.95292,	-11.4132
10.809,	-11.3306
9.57077,	-11.4523
9.57286,	-11.4521
9.75475,	-11.4333
9.46722,	-11.4632
13.4248,	-11.1139
11.862,	-11.2377
5.12258,	-12.0774
8.87472,	-11.5278
12.3601,	-11.1965
9.50451,	-11.4592
9.37838,	-11.4726
8.14161,	-11.614
11.6085,	-11.2593
10.0862,	-11.3998
7.87923,	-11.6468
10.5168,	-11.358
10.9807,	-11.3149
7.16021,	-11.7425
8.33574,	-11.5905
10.4878,	-11.3608
7.74172,	-11.6644
9.68074,	-11.4409
8.30286,	-11.5944
6.50175,	-11.8389
11.1829,	-11.2966
9.79733,	-11.4289
11.2541,	-11.2903
7.18554,	-11.7389
11.172,	-11.2976
7.96623,	-11.6358
6.43783,	-11.8488
6.92771,	-11.7755
6.11541,	-11.9002
10.9569,	-11.317
5.66489,	-11.9767
8.15789,	-11.612
15.924,	-10.9432
9.85837,	-11.4227
8.30992,	-11.5936
8.11684,	-11.6171
10.8848,	-11.3237
11.7216,	-11.2496
9.69677,	-11.4392
7.87073,	-11.6479
5.28732,	-12.0457
14.5033,	-11.0366
11.4013,	-11.2773
11.626,	-11.2578
7.04437,	-11.7588
6.82664,	-11.7902
6.08582,	-11.9051
8.2875,	-11.5963
6.82085,	-11.791
6.14604,	-11.8952
3.8934,	-12.3517
11.2849,	-11.2876
7.62216,	-11.68
3.4672,	-12.4677
9.86254,	-11.4223
10.7044,	-11.3404
7.74311,	-11.6642
9.929,	-11.4156
11.5002,	-11.2686
6.64013,	-11.8179
10.4939,	-11.3602
6.33605,	-11.8648
7.79061,	-11.6581
8.81354,	-11.5347
7.32848,	-11.7192
9.21901,	-11.4897
6.79915,	-11.7942
8.24302,	-11.6016
13.233,	-11.1283
12.4714,	-11.1876
12.0099,	-11.2253
5.33228,	-12.0372
6.63626,	-11.8185
6.21736,	-11.8837
12.3127,	-11.2004
11.0183,	-11.3115
5.6289,	-11.9831
9.96669,	-11.4118
11.3427,	-11.2824
9.54241,	-11.4553
4.97051,	-12.1075
7.52298,	-11.6931
6.60438,	-11.8233
8.40672,	-11.582
12.269,	-11.2039
12.2155,	-11.2083
8.52413,	-11.5681
7.46195,	-11.7012
13.6904,	-11.0943
10.8243,	-11.3292
9.62059,	-11.4471
7.4478,	-11.7031
7.80598,	-11.6561
7.08203,	-11.7535
6.43499,	-11.8493
12.3316,	-11.1989
7.31069,	-11.7217
9.64759,	-11.4443
11.1109,	-11.3031
10.6723,	-11.3434
6.39365,	-11.8557
6.91554,	-11.7772
7.16391,	-11.742
12.2845,	-11.2027
5.35705,	-12.0326
10.1425,	-11.3943
8.27963,	-11.5972
6.51514,	-11.8369
5.68031,	-11.974
7.40171,	-11.7093
7.55275,	-11.6891
6.55926,	-11.8301
7.43942,	-11.7042
12.495,	-11.1857
9.01328,	-11.5123
7.38419,	-11.7117
5.97635,	-11.9232
6.21735,	-11.8837
4.62321,	-12.1799
5.7797,	-11.9567
5.55844,	-11.9957
7.00825,	-11.7639
5.3941,	-12.0257
6.00966,	-11.9176
14.2332,	-11.0554
6.8327,	-11.7893
11.7719,	-11.2453
7.19767,	-11.7373
7.79657,	-11.6573
7.9921,	-11.6326
11.895,	-11.2349
11.9567,	-11.2297
4.62482,	-12.1796
7.86976,	-11.648
8.5463,	-11.5655
8.70495,	-11.5471
8.984,	-11.5156
7.10702,	-11.7499
12.7934,	-11.1621
7.01919,	-11.7624
5.80963,	-11.9515
6.88289,	-11.782
8.21418,	-11.6052
14.5218,	-11.0354
9.58658,	-11.4507
9.35742,	-11.4748
13.5702,	-11.1031
15.3763,	-10.9782
13.9308,	-11.0769
2.49232,	-12.7978
7.29061,	-11.7244
9.76333,	-11.4324
9.43735,	-11.4663
5.42724,	-12.0196
6.18407,	-11.889
8.92941,	-11.5217
8.14253,	-11.6139
5.14194,	-12.0736
8.021,	-11.629
8.91359,	-11.5234
16.7258,	-10.8941
6.17154,	-11.8911
11.4172,	-11.2759
9.93251,	-11.4152
7.72819,	-11.6661
7.68093,	-11.6723
15.6165,	-10.9627
9.39897,	-11.4704
9.61245,	-11.448
8.93775,	-11.5207
9.82914,	-11.4257
10.7973,	-11.3317
5.24596,	-12.0536
8.61402,	-11.5576
8.02414,	-11.6286
9.66639,	-11.4424
12.8587,	-11.157
10.4792,	-11.3616
8.42205,	-11.5802
6.80202,	-11.7938
9.88489,	-11.42
9.70906,	-11.438
5.86636,	-11.9418
10.9448,	-11.3181
5.6093,	-11.9866
6.92325,	-11.7761
5.81271,	-11.951
12.2005,	-11.2095
5.16975,	-12.0682
11.3615,	-11.2808
6.62531,	-11.8201
7.55466,	-11.6889
7.46054,	-11.7014
14.0178,	-11.0707
9.76333,	-11.4324
8.20279,	-11.6065
5.26583,	-12.0498
4.59036,	-12.1871
8.45501,	-11.5763
9.21309,	-11.4904
5.87881,	-11.9397
5.61116,	-11.9863
9.85846,	-11.4227
11.7214,	-11.2496
7.145,	-11.7446
6.72952,	-11.8045
11.5255,	-11.2665
14.267,	-11.0531
7.64939,	-11.6764
7.31428,	-11.7212
11.9326,	-11.2317
9.4092,	-11.4693
4.09627,	-12.3009
9.62165,	-11.447
8.24597,	-11.6013
6.71268,	-11.807
9.07223,	-11.5058
13.8086,	-11.0857
8.68193,	-11.5498
8.00337,	-11.6312
6.34498,	-11.8634
7.65895,	-11.6751
7.28889,	-11.7247
5.02142,	-12.0973
11.0987,	-11.3042
8.71047,	-11.5465
4.7696,	-12.1488
10.7271,	-11.3382
10.2467,	-11.3841
6.55981,	-11.8301
6.06463,	-11.9085
9.74711,	-11.434
9.41567,	-11.4686
7.32673,	-11.7195
7.81943,	-11.6544
12.5243,	-11.1833
6.02731,	-11.9147
6.13744,	-11.8966
7.65205,	-11.676
11.2161,	-11.2937
15.517,	-10.9691
9.5394,	-11.4556
9.73636,	-11.4351
6.39398,	-11.8557
11.2971,	-11.2865
10.6624,	-11.3443
9.07856,	-11.5051
3.81516,	-12.372
8.72726,	-11.5446
10.4245,	-11.3669
13.0766,	-11.1402
10.7776,	-11.3335
9.11173,	-11.5015
8.77651,	-11.5389
6.49187,	-11.8405
9.43594,	-11.4665
14.9312,	-11.0076
7.58762,	-11.6845
11.751,	-11.2471
8.81428,	-11.5346
6.753,	-11.801
7.80265,	-11.6566
6.71815,	-11.8062
8.57406,	-11.5623
6.62197,	-11.8206
8.68403,	-11.5495
9.30193,	-11.4808
9.90421,	-11.4181
3.32504,	-12.5095
10.3668,	-11.3724
11.9952,	-11.2265
7.5065,	-11.6952
13.2273,	-11.1287
10.5965,	-11.3505
6.82399,	-11.7906
8.15463,	-11.6124
6.73536,	-11.8036
6.11968,	-11.8995
7.00265,	-11.7647
9.0882,	-11.504
12.908,	-11.1532
11.0004,	-11.3131
3.79764,	-12.3766
10.7857,	-11.3328
9.9584,	-11.4126
7.88759,	-11.6457
8.39509,	-11.5834
10.7466,	-11.3364
9.55516,	-11.4539
10.0703,	-11.4014
4.11355,	-12.2967
8.44013,	-11.578
17.1982,	-10.8662
6.92856,	-11.7754
6.47769,	-11.8427
13.8381,	-11.0836
11.3987,	-11.2775
10.8055,	-11.331
9.89465,	-11.419
9.61628,	-11.4476
6.5862,	-11.826
12.443,	-11.1899
6.62971,	-11.8195
6.43524,	-11.8492
11.5612,	-11.2634
13.4076,	-11.1152
7.715,	-11.6678
8.03074,	-11.6277
10.358,	-11.3733
4.81342,	-12.1396
6.4199,	-11.8516
11.7233,	-11.2494
4.99275,	-12.103
4.966,	-12.1084
8.56873,	-11.5629
9.24486,	-11.4869
9.11726,	-11.5008
3.61915,	-12.4248
11.824,	-11.2409
17.0453,	-10.8751
7.66833,	-11.6739
6.2579,	-11.8772
9.50284,	-11.4594
10.8349,	-11.3282
9.66113,	-11.4429
6.37123,	-11.8592
6.71916,	-11.8061
10.4726,	-11.3623
6.20586,	-11.8855
9.40912,	-11.4693
8.55751,	-11.5642
10.3448,	-11.3745
8.98994,	-11.5149
5.18461,	-12.0653
8.22319,	-11.6041
4.46433,	-12.2149
6.17405,	-11.8907
7.00905,	-11.7638
7.63714,	-11.678
5.22868,	-12.0569
10.3072,	-11.3782
6.8324,	-11.7893
8.37748,	-11.5855
8.48792,	-11.5724
9.0101,	-11.5127
9.07187,	-11.5058
7.83194,	-11.6528
7.7055,	-11.6691
5.64755,	-11.9798
18.2844,	-10.805
14.2627,	-11.0534
9.11039,	-11.5016
5.02067,	-12.0975
9.05858,	-11.5073
9.48747,	-11.461
5.60611,	-11.9872
7.3184,	-11.7206
7.71934,	-11.6673
7.48767,	-11.6978
4.54066,	-12.1979
8.94108,	-11.5204
12.3076,	-11.2008
8.21835,	-11.6046
12.2471,	-11.2057
3.66697,	-12.4116
13.1596,	-11.1339
7.48232,	-11.6985
7.75408,	-11.6628
10.0125,	-11.4072
4.8372,	-12.1347
7.21186,	-11.7353
8.40515,	-11.5822
11.46,	-11.2722
12.9521,	-11.1498
8.57779,	-11.5618
6.65353,	-11.8159
5.05406,	-12.0908
10.4733,	-11.3622
4.19701,	-12.2766
9.3146,	-11.4794
9.51598,	-11.458
12.1812,	-11.2111
10.6416,	-11.3462
7.1187,	-11.7483
11.5467,	-11.2646
10.0235,	-11.4061
9.76992,	-11.4317
9.73346,	-11.4354
7.31584,	-11.721
11.6398,	-11.2566
5.93764,	-11.9297
7.50237,	-11.6958
7.87702,	-11.6471
9.64641,	-11.4444
13.5523,	-11.1045
6.30393,	-11.8698
13.972,	-11.074
7.99921,	-11.6317
9.78648,	-11.43
9.43711,	-11.4664
5.52753,	-12.0013
13.8573,	-11.0822
13.4449,	-11.1124
12.1419,	-11.2144
10.1629,	-11.3923
7.81097,	-11.6555
6.63085,	-11.8193
7.94135,	-11.6389
7.84879,	-11.6507
5.84789,	-11.9449
10.8346,	-11.3283
12.0337,	-11.2233
7.4585,	-11.7017
7.24595,	-11.7306
7.40876,	-11.7084
7.99435,	-11.6323
5.17761,	-12.0667
5.57138,	-11.9934
5.30606,	-12.0422
8.34852,	-11.5889
10.5455,	-11.3553
7.30118,	-11.723
7.94348,	-11.6387
8.26097,	-11.5995
11.1884,	-11.2961
6.47983,	-11.8423
8.75984,	-11.5408
12.6851,	-11.1706
5.63118,	-11.9827
12.5116,	-11.1844
